area_code,year,high.tech.occupations,total.jobs,rate
10180,2013,520,62610,0.008305383
10380,2013,180,42480,0.004237288
10420,2013,7590,317190,0.023928875
10500,2013,440,58240,0.007554945
10580,2013,15910,427180,0.037244253
10740,2013,11080,368830,0.03004094
10780,2013,390,60470,0.006449479
10900,2013,8170,336560,0.024275018
11020,2013,650,57730,0.011259311
11100,2013,1140,110660,0.010301825
11180,2013,1270,41460,0.030631934
11260,2013,4600,175540,0.026204854
11300,2013,90,37820,0.002379693
11340,2013,390,60100,0.006489185
11460,2013,9740,202700,0.048051307
11500,2013,330,43150,0.00764774
11540,2013,1670,115480,0.014461379
11700,2013,2050,171890,0.011926232
12020,2013,1110,77820,0.014263685
12060,2013,80740,2308040,0.034982063
12100,2013,1660,132980,0.01248308
12220,2013,570,51010,0.01117428
12260,2013,4140,202750,0.020419236
12420,2013,50800,854930,0.059420069
12540,2013,7000,288490,0.024264273
12580,2013,50980,1280700,0.039806356
12940,2013,8420,366610,0.022967186
12980,2013,300,53370,0.005621135
13020,2013,100,33490,0.002985966
13140,2013,2400,155790,0.015405353
13380,2013,690,76650,0.009001957
13460,2013,870,62540,0.013911097
13644,2013,34530,561830,0.061459872
13740,2013,1330,82610,0.016099746
13780,2013,1850,103490,0.017876123
13820,2013,14090,490870,0.028704138
13900,2013,1220,68060,0.01792536
13980,2013,1560,63270,0.024656235
14020,2013,1700,72550,0.023432116
14060,2013,1010,87020,0.011606527
14260,2013,7110,269680,0.02636458
14500,2013,13700,163010,0.084043924
14540,2013,660,59180,0.011152416
14740,2013,1510,77850,0.019396275
15180,2013,550,131270,0.004189838
15260,2013,160,38860,0.004117344
15380,2013,12330,532880,0.023138418
15500,2013,800,55910,0.01430871
15804,2013,10530,501330,0.021004129
15940,2013,1560,165610,0.009419721
15980,2013,2110,211080,0.00999621
16020,2013,290,42060,0.006894912
16180,2013,30,25770,0.001164144
16220,2013,680,42080,0.016159696
16300,2013,4140,138580,0.029874441
16580,2013,2170,96350,0.022522055
16620,2013,1850,144200,0.012829404
16700,2013,7590,295210,0.025710511
16740,2013,26020,877070,0.029666959
16820,2013,3090,98400,0.031402439
16860,2013,4110,227330,0.018079444
16940,2013,630,44370,0.014198783
16974,2013,102480,3700620,0.027692657
16980,2013,119070,4347580,0.02738765
17020,2013,620,68410,0.009063002
17140,2013,29730,995170,0.029874293
17300,2013,610,82080,0.007431774
17420,2013,340,38950,0.00872914
17460,2013,27570,1010190,0.027291896
17660,2013,530,53450,0.009915809
17780,2013,2600,95910,0.027108748
17820,2013,10160,245910,0.041315929
17860,2013,1610,88930,0.018104127
17900,2013,8040,346140,0.023227596
17980,2013,2520,111860,0.02252816
18020,2013,650,47050,0.01381509
18140,2013,34290,940940,0.036442281
18580,2013,2660,184760,0.014397056
18700,2013,1450,33080,0.043833132
18880,2013,2990,74730,0.040010705
19060,2013,220,36630,0.006006006
19100,2013,115200,3061220,0.037632055
19124,2013,94160,2149600,0.043803498
19140,2013,1030,61920,0.016634367
19180,2013,130,26960,0.004821958
19260,2013,80,37000,0.002162162
19340,2013,2710,180170,0.01504135
19380,2013,13180,368960,0.035722029
19460,2013,630,53000,0.011886792
19500,2013,90,49080,0.001833741
19660,2013,1480,152950,0.009676365
19740,2013,59880,1280960,0.04674619
19780,2013,9980,330500,0.030196672
19804,2013,21790,7.00E+05,0.031128571
19820,2013,58140,1812140,0.032083614
20020,2013,300,55180,0.005436752
20100,2013,520,60330,0.008619261
20220,2013,820,56990,0.014388489
20260,2013,1740,123540,0.014084507
20500,2013,21670,276580,0.078349845
20740,2013,1520,78840,0.019279554
20764,2013,42460,981480,0.043261197
20940,2013,220,51990,0.004231583
21060,2013,470,46760,0.010051326
21140,2013,680,114420,0.005943017
21300,2013,70,35790,0.001955854
21340,2013,2590,281570,0.009198423
21500,2013,1270,125060,0.010155126
21660,2013,2240,139050,0.016109313
21780,2013,2600,169830,0.015309427
21820,2013,660,35710,0.018482218
21940,2013,60,12950,0.004633205
22020,2013,2030,128990,0.015737654
22140,2013,170,50530,0.003364338
22180,2013,1290,125760,0.010257634
22220,2013,5240,208010,0.025191097
22380,2013,540,56200,0.009608541
22420,2013,1010,132000,0.007651515
22500,2013,1300,80930,0.016063265
22520,2013,400,51990,0.007693787
22540,2013,100,45010,0.002221729
22660,2013,6430,136810,0.046999488
22744,2013,13450,732460,0.018362777
22900,2013,1060,112020,0.009462596
23060,2013,3790,202440,0.018721597
23104,2013,22120,911620,0.024264496
23420,2013,3080,321810,0.009570865
23460,2013,150,34490,0.004349087
23540,2013,2970,120230,0.024702653
23580,2013,620,73980,0.008380643
23844,2013,3100,267430,0.011591818
24020,2013,220,52520,0.00418888
24140,2013,170,39060,0.004352279
24220,2013,360,50400,0.007142857
24300,2013,210,57930,0.003625065
24340,2013,8630,397380,0.021717248
24500,2013,120,34490,0.003479269
24540,2013,780,86640,0.00900277
24580,2013,3270,164630,0.019862722
24660,2013,6670,344640,0.019353528
24780,2013,1030,75570,0.013629747
24860,2013,6050,302970,0.019968974
25020,2013,170,12530,0.013567438
25060,2013,1610,100370,0.01604065
25180,2013,1460,101170,0.014431155
25260,2013,100,37510,0.002665956
25420,2013,8260,307350,0.026874898
25500,2013,610,58680,0.010395365
25620,2013,570,56500,0.010088496
25860,2013,1190,143700,0.008281141
26100,2013,1090,105430,0.010338613
26180,2013,7930,441250,0.017971671
26300,2013,190,34530,0.005502462
26380,2013,490,96890,0.005057281
26420,2013,108690,2757640,0.039414137
26580,2013,1090,107810,0.010110379
26620,2013,18990,210110,0.090381229
26820,2013,500,50150,0.00997009
26900,2013,25430,912810,0.027859029
26980,2013,1680,88520,0.018978762
27060,2013,660,49070,0.013450173
27100,2013,940,55980,0.016791711
27140,2013,4310,248430,0.017348951
27180,2013,400,57830,0.006916825
27260,2013,11670,586900,0.019884137
27340,2013,130,44250,0.002937853
27500,2013,690,60980,0.011315185
27620,2013,1930,72060,0.026783236
27740,2013,1060,76790,0.013803881
27780,2013,510,55560,0.009179266
27860,2013,430,50350,0.008540218
