"area_code","year","high.tech.occupations","total.jobs","rate"
"0010180","2014",NA,64250,NA
"0010420","2014",NA,320520,NA
"0010580","2014",NA,430020,NA
"0010780","2014",350,61230,0.0057161522129675
"0011020","2014",NA,58460,NA
"0011180","2014",1310,42250,0.0310059171597633
"0011300","2014",80,37370,0.00214075461600214
"0011460","2014",NA,204840,NA
"0011540","2014",1790,117050,0.0152926099957283
"0012020","2014",1840,78510,0.0234365049038339
"0012100","2014",1500,131680,0.0113912515188335
"0012260","2014",3650,204390,0.0178580165370126
"0012540","2014",7420,295860,0.0250794294598797
"0012940","2014",7580,382280,0.0198283980328555
"0013020","2014",100,35160,0.00284414106939704
"0013380","2014",NA,79720,NA
"0013644","2014",34750,566300,0.061363235034434
"0013780","2014",2970,101600,0.0292322834645669
"0013900","2014",1050,68690,0.0152860678410249
"0014020","2014",NA,73120,NA
"0014260","2014",NA,279870,NA
"0014540","2014",NA,60200,NA
"0015180","2014",NA,132920,NA
"0015380","2014",NA,539250,NA
"0015804","2014",10740,507810,0.0211496425828558
"0015980","2014",NA,224140,NA
"0016180","2014",60,26440,0.00226928895612708
"0016220","2014",850,43050,0.0197444831591173
"0016580","2014",NA,96480,NA
"0016700","2014",NA,308520,NA
"0016820","2014",NA,97960,NA
"0016940","2014",NA,44970,NA
"0016980","2014",NA,4411860,NA
"0017140","2014",NA,1012100,NA
"0017420","2014",430,44770,0.00960464596828233
"0017660","2014",410,54730,0.00749132103051343
"0017820","2014",NA,253430,NA
"0017900","2014",8310,356160,0.0233322102425876
"0018020","2014",820,48120,0.0170407315045719
"0018580","2014",2550,186490,0.0136736554238833
"0018880","2014",2820,76430,0.0368965066073531
"0019100","2014",NA,3168590,NA
"0019140","2014",1080,64380,0.0167753960857409
"0019260","2014",90,37780,0.00238221281101112
"0019380","2014",NA,369680,NA
"0019500","2014",NA,48050,NA
"0019740","2014",NA,1325430,NA
"0019804","2014",23650,717300,0.0329708629583159
"0020020","2014",430,54340,0.00791313949208686
"0020220","2014",NA,56640,NA
"0020500","2014",NA,284480,NA
"0020764","2014",NA,1001740,NA
"0021060","2014",480,45420,0.0105680317040951
"0021300","2014",170,36090,0.00471044610695483
"0021500","2014",1340,125530,0.0106747391061898
"0021780","2014",NA,172920,NA
"0021940","2014",NA,11860,NA
"0022140","2014",NA,49120,NA
"0022220","2014",NA,214650,NA
"0022420","2014",NA,135100,NA
"0022520","2014",260,52070,0.00499327827923949
"0022660","2014",NA,139530,NA
"0022900","2014",NA,113380,NA
"0023104","2014",NA,929960,NA
"0023460","2014",140,35140,0.00398406374501992
"0023580","2014",540,76470,0.00706159278148293
"0024020","2014",220,51210,0.00429603593048233
"0024220","2014",NA,50420,NA
"0024340","2014",NA,406910,NA
"0024540","2014",NA,93760,NA
"0024660","2014",7190,350450,0.0205164788129548
"0024860","2014",6050,309340,0.0195577681515485
"0025060","2014",1690,101710,0.0166158686461508
"0025260","2014",NA,37980,NA
"0025500","2014",NA,59770,NA
"0025860","2014",1320,143890,0.00917367433456112
"0026100","2014",NA,113270,NA
"0026300","2014",NA,35540,NA
"0026420","2014",NA,2843360,NA
"0026620","2014",20670,208480,0.0991462010744436
"0026900","2014",NA,937000,NA
"0027060","2014",1560,49430,0.0315597815092049
"0027100","2014",1020,57880,0.0176226675881133
"0027180","2014",NA,58170,NA
"0027340","2014",190,44990,0.00422316070237831
"0027620","2014",1750,70930,0.0246722120400395
"0027780","2014",610,54110,0.0112733321012752
"0027900","2014",NA,78310,NA
"0028100","2014",NA,40200,NA
"0028420","2014",NA,99890,NA
"0028700","2014",NA,115400,NA
"0028940","2014",NA,330330,NA
"0029100","2014",520,73590,0.00706617746976491
"0029180","2014",NA,156670,NA
"0029404","2014",NA,393540,NA
"0029460","2014",NA,199800,NA
"0029620","2014",4980,200100,0.0248875562218891
"0029740","2014",NA,69250,NA
"0029940","2014",NA,46330,NA
"0030140","2014",NA,49740,NA
"0030460","2014",NA,259700,NA
"0030700","2014",NA,169210,NA
"0030860","2014",1110,51720,0.021461716937355
"0031020","2014",NA,34110,NA
"0031100","2014",NA,5541000,NA
"0031180","2014",1800,132840,0.013550135501355
"0031420","2014",NA,95380,NA
"0031540","2014",NA,347750,NA
"0031860","2014",NA,49190,NA
"0032420","2014",NA,29670,NA
"0032780","2014",800,77410,0.0103345820953365
"0032900","2014",290,63510,0.0045662100456621
"0033124","2014",NA,1047540,NA
"0033260","2014",NA,87880,NA
"0033460","2014",63390,1824720,0.0347395764829673
"0033660","2014",3180,168630,0.0188578544742928
"0033740","2014",680,74400,0.00913978494623656
"0033860","2014",3170,159620,0.0198596667084325
"0034100","2014",50,44580,0.00112157918349035
"0034620","2014",400,43910,0.00910954224550216
"0034820","2014",900,116320,0.0077372764786795
"0034940","2014",NA,124850,NA
"0035004","2014",NA,1261820,NA
"0035380","2014",9050,539910,0.0167620529347484
"0035644","2014",NA,5391190,NA
"0035840","2014",NA,258340,NA
"0036100","2014",NA,93220,NA
"0036220","2014",600,73370,0.0081777293171596
"0036420","2014",18190,602150,0.0302084198289463
"0036540","2014",NA,467130,NA
"0036780","2014",NA,90590,NA
"0037100","2014",NA,295990,NA
"0037380","2014",50,19570,0.00255493101686254
"0037620","2014",610,67200,0.00907738095238095
"0037860","2014",NA,156530,NA
"0037964","2014",NA,1861870,NA
"0038060","2014",NA,1825850,NA
"0038300","2014",NA,1129980,NA
"0038660","2014",NA,52890,NA
"0038940","2014",NA,127870,NA
"0039140","2014",280,56390,0.00496541940060294
"0039380","2014",NA,56130,NA
"0039540","2014",760,73220,0.010379677683693
"0039660","2014",860,62150,0.0138374899436846
"0039820","2014",460,57810,0.00795710084760422
"0040060","2014",NA,616800,NA
"0040220","2014",NA,151140,NA
"0040380","2014",16080,495180,0.0324730401066279
"0040580","2014",NA,55640,NA
"0040900","2014",NA,858060,NA
"0041060","2014",1320,100030,0.0131960411876437
"0041140","2014",NA,50680,NA
"0041420","2014",NA,148920,NA
"0041540","2014",NA,50950,NA
"0041660","2014",NA,45290,NA
"0041740","2014",NA,1320390,NA
"0041860","2014",NA,2112800,NA
"0041900","2014",160,18380,0.00870511425462459
"0041980","2014",NA,703560,NA
"0042044","2014",NA,1484500,NA
"0042100","2014",NA,88410,NA
"0042220","2014",NA,184570,NA
"0042540","2014",NA,254340,NA
"0042660","2014",NA,1761920,NA
"0043100","2014",820,57860,0.0141721396474248
"0043340","2014",NA,169150,NA
"0043620","2014",NA,145510,NA
"0043900","2014",1730,126590,0.0136661663638518
"0044100","2014",2500,109100,0.0229147571035747
"0044220","2014",NA,47620,NA
"0044600","2014",NA,40390,NA
"0044940","2014",NA,33860,NA
"0045104","2014",3580,269280,0.0132947118241236
"0045300","2014",NA,1182200,NA
"0045500","2014",270,52600,0.00513307984790875
"0045820","2014",NA,110130,NA
"0046060","2014",NA,353790,NA
"0046220","2014",NA,93200,NA
"0046540","2014",2040,120650,0.0169084127641939
"0046700","2014",NA,120440,NA
"0047220","2014",260,59290,0.00438522516444594
"0047300","2014",NA,136990,NA
"0047580","2014",NA,55460,NA
"0047894","2014",NA,2378260,NA
"0047940","2014",880,89600,0.00982142857142857
"0048300","2014",370,39810,0.00929414719919618
"0048540","2014",570,63600,0.0089622641509434
"0048660","2014",NA,56320,NA
"0048864","2014",NA,337160,NA
"0049020","2014",NA,54480,NA
"0049420","2014",570,82300,0.00692588092345079
"0049620","2014",2310,174740,0.0132196406089047
"0049700","2014",230,37420,0.00614644575093533
"0070750","2014",510,63720,0.00800376647834275
"0071650","2014",149090,2587770,0.0576133118476526
"0071950","2014",NA,422570,NA
"0072400","2014",NA,117720,NA
"0073104","2014",NA,162170,NA
"0073604","2014",1450,81690,0.017750030603501
"0074500","2014",450,47680,0.00943791946308725
"0074804","2014",NA,118980,NA
"0075404","2014",NA,131030,NA
"0075700","2014",7420,275450,0.0269377382465057
"0076524","2014",NA,102040,NA
"0076750","2014",NA,198880,NA
"0077200","2014",NA,551850,NA
"0078100","2014",4990,291200,0.017135989010989
"0078700","2014",460,63430,0.00725208891691629
"0100001","2014",NA,63790,NA
"0100003","2014",820,130570,0.00628015623803324
"0200001","2014",410,35130,0.0116709365214916
"0400001","2014",NA,63800,NA
"0500001","2014",NA,78400,NA
"0500003","2014",NA,122510,NA
"0600001","2014",190,38810,0.00489564545220304
"0600003","2014",NA,94120,NA
"0600005","2014",520,61530,0.00845116203477978
"0800002","2014",NA,103390,NA
"0800004","2014",40,19430,0.00205867215645908
"0900002","2014",30,27900,0.0010752688172043
"1000001","2014",530,72480,0.00731236203090508
"1200002","2014",1060,140230,0.00755901019753263
"1300001","2014",NA,154890,NA
"1300003","2014",460,82440,0.00557981562348375
"1500001","2014",1500,164060,0.00914299646470803
"1600002","2014",NA,18020,NA
"1600004","2014",NA,49690,NA
"1700002","2014",NA,179890,NA
"1700004","2014",NA,142190,NA
"1800002","2014",NA,151160,NA
"1900001","2014",NA,100600,NA
"1900003","2014",450,85540,0.00526069675005845
"2000001","2014",NA,388460,NA
"2100002","2014",NA,169530,NA
"2100004","2014",NA,108190,NA
"2200002","2014",630,79160,0.00795856493178373
"2200004","2014",NA,135340,NA
"2300002","2014",2600,192090,0.0135353219844864
"2400003","2014",2460,43080,0.0571030640668524
"2500004","2014",NA,23450,NA
"2600002","2014",NA,72920,NA
"2600004","2014",3260,295100,0.0110471026770586
"2700002","2014",290,53210,0.00545010336402932
"2700004","2014",1810,173360,0.0104407014305491
"2800002","2014",NA,102850,NA
"2800004","2014",NA,95040,NA
