"","msa.fips","year","real.gdp"
"new.row","11500",2001,3081
"new.row.1","11500",2002,3210
"new.row.2","11500",2003,3373
"new.row.3","11500",2004,3631
"new.row.4","11500",2005,3763
"new.row.5","11500",2006,3810
"new.row.6","11500",2007,3940
"new.row.7","11500",2008,3962
"new.row.8","11500",2009,3743
"new.row.9","11500",2010,3777
"new.row.10","11500",2011,3707
"new.row.11","11500",2012,3625
"new.row.12","11500",2013,3518
"new.row.13","12220",2001,2838
"new.row.14","12220",2002,2964
"new.row.15","12220",2003,3077
"new.row.16","12220",2004,3331
"new.row.17","12220",2005,3484
"new.row.18","12220",2006,3607
"new.row.19","12220",2007,3652
"new.row.20","12220",2008,3775
"new.row.21","12220",2009,3692
"new.row.22","12220",2010,3843
"new.row.23","12220",2011,4040
"new.row.24","12220",2012,4152
"new.row.25","12220",2013,4293
"new.row.26","13820",2001,50883
"new.row.27","13820",2002,52404
"new.row.28","13820",2003,52293
"new.row.29","13820",2004,54271
"new.row.30","13820",2005,55180
"new.row.31","13820",2006,54842
"new.row.32","13820",2007,55086
"new.row.33","13820",2008,54984
"new.row.34","13820",2009,51279
"new.row.35","13820",2010,52058
"new.row.36","13820",2011,53866
"new.row.37","13820",2012,56354
"new.row.38","13820",2013,55913
"new.row.39","17980",2001,10454
"new.row.40","17980",2002,10142
"new.row.41","17980",2003,10423
"new.row.42","17980",2004,10560
"new.row.43","17980",2005,10858
"new.row.44","17980",2006,11045
"new.row.45","17980",2007,11378
"new.row.46","17980",2008,11286
"new.row.47","17980",2009,11605
"new.row.48","17980",2010,11972
"new.row.49","17980",2011,12112
"new.row.50","17980",2012,12167
"new.row.51","17980",2013,12108
"new.row.52","19300",2001,4099
"new.row.53","19300",2002,4247
"new.row.54","19300",2003,4409
"new.row.55","19300",2004,4794
"new.row.56","19300",2005,4999
"new.row.57","19300",2006,5238
"new.row.58","19300",2007,5457
"new.row.59","19300",2008,5629
"new.row.60","19300",2009,5512
"new.row.61","19300",2010,5557
"new.row.62","19300",2011,5588
"new.row.63","19300",2012,5678
"new.row.64","19300",2013,5909
"new.row.65","19460",2001,4455
"new.row.66","19460",2002,4397
"new.row.67","19460",2003,4668
"new.row.68","19460",2004,5038
"new.row.69","19460",2005,4971
"new.row.70","19460",2006,5045
"new.row.71","19460",2007,5098
"new.row.72","19460",2008,5055
"new.row.73","19460",2009,4866
"new.row.74","19460",2010,4965
"new.row.75","19460",2011,4824
"new.row.76","19460",2012,5034
"new.row.77","19460",2013,5063
"new.row.78","20020",2001,3984
"new.row.79","20020",2002,4302
"new.row.80","20020",2003,4442
"new.row.81","20020",2004,4648
"new.row.82","20020",2005,4860
"new.row.83","20020",2006,4892
"new.row.84","20020",2007,4801
"new.row.85","20020",2008,4552
"new.row.86","20020",2009,4389
"new.row.87","20020",2010,4505
"new.row.88","20020",2011,4427
"new.row.89","20020",2012,4505
"new.row.90","20020",2013,4583
"new.row.91","22520",2001,3506
"new.row.92","22520",2002,3505
"new.row.93","22520",2003,3648
"new.row.94","22520",2004,3797
"new.row.95","22520",2005,3920
"new.row.96","22520",2006,3999
"new.row.97","22520",2007,3947
"new.row.98","22520",2008,3899
"new.row.99","22520",2009,3890
"new.row.100","22520",2010,4014
"new.row.101","22520",2011,4009
"new.row.102","22520",2012,4096
"new.row.103","22520",2013,4255
"new.row.104","23460",2001,2459
"new.row.105","23460",2002,2514
"new.row.106","23460",2003,2561
"new.row.107","23460",2004,2651
"new.row.108","23460",2005,2690
"new.row.109","23460",2006,2683
"new.row.110","23460",2007,2639
"new.row.111","23460",2008,2617
"new.row.112","23460",2009,2546
