"","msa.fips"
"new.row","36140"
"new.row.1","36140"
"new.row.2","36140"
"new.row.3","36140"
"new.row.4","36140"
"new.row.5","36140"
"new.row.6","36140"
"new.row.7","36140"
"new.row.8","36140"
"new.row.9","36140"
"new.row.10","36140"
"new.row.11","36140"
"new.row.12","36140"
"new.row.13","36140"
"new.row.14","36140"
"new.row.15","36140"
"new.row.16","36140"
"new.row.17","36140"
"new.row.18","36140"
"new.row.19","36140"
"new.row.20","36140"
"new.row.21","36140"
"new.row.22","36140"
"new.row.23","36140"
"new.row.24","36140"
"new.row.25","36140"
"new.row.26","36140"
"new.row.27","36140"
"new.row.28","36140"
"new.row.29","36140"
"new.row.30","36140"
"new.row.31","36140"
"new.row.32","36140"
"new.row.33","36140"
"new.row.34","36140"
"new.row.35","36140"
"new.row.36","36140"
"new.row.37","36140"
"new.row.38","36140"
"new.row.39","36140"
"new.row.40","36140"
"new.row.41","36140"
"new.row.42","36140"
"new.row.43","36140"
"new.row.44","37980"
"new.row.45","37980"
"new.row.46","37980"
"new.row.47","37980"
"new.row.48","37980"
"new.row.49","37980"
"new.row.50","37980"
"new.row.51","37980"
"new.row.52","37980"
"new.row.53","37980"
"new.row.54","37980"
"new.row.55","37980"
"new.row.56","37980"
"new.row.57","37980"
"new.row.58","37980"
"new.row.59","37980"
"new.row.60","37980"
"new.row.61","37980"
"new.row.62","37980"
"new.row.63","37980"
"new.row.64","37980"
"new.row.65","37980"
"new.row.66","37980"
"new.row.67","37980"
"new.row.68","37980"
"new.row.69","37980"
"new.row.70","37980"
"new.row.71","37980"
"new.row.72","37980"
"new.row.73","37980"
"new.row.74","37980"
"new.row.75","37980"
"new.row.76","37980"
"new.row.77","37980"
"new.row.78","37980"
"new.row.79","37980"
"new.row.80","37980"
"new.row.81","37980"
"new.row.82","37980"
"new.row.83","37980"
"new.row.84","37980"
"new.row.85","37980"
"new.row.86","37980"
"new.row.87","37980"
"new.row.88","45940"
"new.row.89","45940"
"new.row.90","45940"
"new.row.91","45940"
"new.row.92","45940"
"new.row.93","45940"
"new.row.94","45940"
"new.row.95","45940"
"new.row.96","45940"
"new.row.97","45940"
"new.row.98","45940"
"new.row.99","45940"
"new.row.100","45940"
"new.row.101","45940"
"new.row.102","45940"
"new.row.103","45940"
"new.row.104","45940"
"new.row.105","45940"
"new.row.106","45940"
"new.row.107","45940"
"new.row.108","45940"
"new.row.109","45940"
"new.row.110","45940"
"new.row.111","45940"
"new.row.112","45940"
"new.row.113","45940"
"new.row.114","45940"
"new.row.115","45940"
"new.row.116","45940"
"new.row.117","45940"
"new.row.118","45940"
"new.row.119","45940"
"new.row.120","45940"
"new.row.121","45940"
"new.row.122","45940"
"new.row.123","45940"
"new.row.124","45940"
"new.row.125","45940"
"new.row.126","45940"
"new.row.127","45940"
"new.row.128","45940"
"new.row.129","45940"
"new.row.130","45940"
"new.row.131","45940"
"new.row.132","47220"
"new.row.133","47220"
"new.row.134","47220"
"new.row.135","47220"
"new.row.136","47220"
"new.row.137","47220"
"new.row.138","47220"
"new.row.139","47220"
"new.row.140","47220"
"new.row.141","47220"
"new.row.142","47220"
"new.row.143","47220"
"new.row.144","47220"
"new.row.145","47220"
"new.row.146","47220"
"new.row.147","47220"
"new.row.148","47220"
"new.row.149","47220"
"new.row.150","47220"
"new.row.151","47220"
"new.row.152","47220"
"new.row.153","47220"
