"","msa.fips","year","real.gdp","employment","worker.productivity"
"1","10180",2001,4242,89514,47389.2352034319
"2","10180",2002,4390,90394,48565.1702546629
"3","10180",2003,4461,91990,48494.4015653875
"4","10180",2004,4542,93421,48618.618940067
"5","10180",2005,4452,94654,47034.4623576394
"6","10180",2006,4578,95580,47897.0495919648
"7","10180",2007,4807,97660,49221.7898832685
"8","10180",2008,4922,99715,49360.6779321065
"9","10180",2009,4750,97812,48562.5485625486
"10","10180",2010,4798,97107,49409.4143573584
"11","10180",2011,4862,98429,49396.0113381219
"12","10180",2012,5098,99870,51046.3602683489
"13","10420",2001,23067,392626,58750.5666970603
"14","10420",2002,23892,392580,60858.9332110653
"15","10420",2003,24334,393640,61817.9046844833
"16","10420",2004,25082,401040,62542.389786555
"17","10420",2005,25555,408949,62489.4546752774
"18","10420",2006,25334,413964,61198.5583287436
"19","10420",2007,25597,419706,60987.9296459903
"20","10420",2008,25399,419611,60529.8717145165
"21","10420",2009,23819,400451,59480.4358086258
"22","10420",2010,24169,395745,61072.1550493373
"23","10420",2011,24553,400411,61319.4942196893
"24","10420",2012,25165,406183,61954.8331663314
"25","10500",2001,4625,79520,58161.4688128773
"26","10500",2002,4599,77966,58987.2508529359
"27","10500",2003,4673,79268,58951.909976283
"28","10500",2004,4640,79358,58469.2154540185
"29","10500",2005,4710,81093,58081.4620250823
"30","10500",2006,4559,81219,56132.1858185892
"31","10500",2007,4547,81680,55668.4622918707
"32","10500",2008,4397,80922,54336.2744371123
"33","10500",2009,4358,78681,55388.2131645505
"34","10500",2010,4224,78031,54132.3320218887
"35","10500",2011,4164,79763,52204.6562942718
"36","10500",2012,4212,79989,52657.2403705509
"37","10540",2001,2610,51696,50487.4651810585
"38","10540",2002,2784,51213,54361.1973522348
"39","10540",2003,2718,50790,53514.4713526285
"40","10540",2004,2879,51569,55828.113789292
"41","10540",2005,2924,53462,54693.0530096143
"42","10540",2006,3032,54529,55603.4403711786
"43","10540",2007,2910,55579,52357.9049641051
"44","10540",2008,2895,55692,51982.3313940961
"45","10540",2009,2784,52083,53453.1421001094
"46","10540",2010,2720,51439,52878.166371819
"47","10540",2011,2740,51009,53716.0109000372
"48","10540",2012,2852,51460,55421.686746988
"49","10580",2001,31851,519215,61344.5297227545
"50","10580",2002,32277,518143,62293.6139251133
"51","10580",2003,33290,522682,63690.7335626633
"52","10580",2004,34219,528835,64706.3828982575
"53","10580",2005,34346,534973,64201.3709103076
"54","10580",2006,35004,537457,65128.9312447321
"55","10580",2007,34602,542360,63798.9527251272
