"","msa.fips","year","average.compensation.per.job"
"new.row","11500",2001,32565
"new.row.1","11500",2002,34009
"new.row.2","11500",2003,35856
"new.row.3","11500",2004,37475
"new.row.4","11500",2005,39294
"new.row.5","11500",2006,40841
"new.row.6","11500",2007,43124
"new.row.7","11500",2008,45184
"new.row.8","11500",2009,46396
"new.row.9","11500",2010,47476
"new.row.10","11500",2011,47973
"new.row.11","11500",2012,47137
"new.row.12","12220",2001,31014
"new.row.13","12220",2002,31644
"new.row.14","12220",2003,33612
"new.row.15","12220",2004,35428
"new.row.16","12220",2005,36249
"new.row.17","12220",2006,37262
"new.row.18","12220",2007,38406
"new.row.19","12220",2008,39951
"new.row.20","12220",2009,41207
"new.row.21","12220",2010,41660
"new.row.22","12220",2011,42135
"new.row.23","12220",2012,42282
"new.row.24","13820",2001,40904
"new.row.25","13820",2002,42599
"new.row.26","13820",2003,44262
"new.row.27","13820",2004,46340
"new.row.28","13820",2005,48184
"new.row.29","13820",2006,49621
"new.row.30","13820",2007,51548
"new.row.31","13820",2008,52900
"new.row.32","13820",2009,53635
"new.row.33","13820",2010,54734
"new.row.34","13820",2011,56199
"new.row.35","13820",2012,57263
"new.row.36","17980",2001,35591
"new.row.37","17980",2002,37249
"new.row.38","17980",2003,39236
"new.row.39","17980",2004,40420
"new.row.40","17980",2005,42883
"new.row.41","17980",2006,44743
"new.row.42","17980",2007,47285
"new.row.43","17980",2008,48949
"new.row.44","17980",2009,50651
"new.row.45","17980",2010,52218
"new.row.46","17980",2011,53966
"new.row.47","17980",2012,55031
"new.row.48","19300",2001,28632
"new.row.49","19300",2002,29819
"new.row.50","19300",2003,30925
"new.row.51","19300",2004,32572
"new.row.52","19300",2005,34464
"new.row.53","19300",2006,36098
"new.row.54","19300",2007,36927
"new.row.55","19300",2008,37758
"new.row.56","19300",2009,38091
"new.row.57","19300",2010,38954
"new.row.58","19300",2011,39129
"new.row.59","19300",2012,39499
"new.row.60","19460",2001,36853
"new.row.61","19460",2002,37011
"new.row.62","19460",2003,38880
"new.row.63","19460",2004,40388
"new.row.64","19460",2005,41544
"new.row.65","19460",2006,42777
"new.row.66","19460",2007,44074
"new.row.67","19460",2008,45269
"new.row.68","19460",2009,46198
"new.row.69","19460",2010,48055
"new.row.70","19460",2011,48830
"new.row.71","19460",2012,49700
"new.row.72","20020",2001,32576
"new.row.73","20020",2002,33617
"new.row.74","20020",2003,34742
"new.row.75","20020",2004,36435
"new.row.76","20020",2005,37633
"new.row.77","20020",2006,38871
"new.row.78","20020",2007,39743
"new.row.79","20020",2008,40584
"new.row.80","20020",2009,42126
"new.row.81","20020",2010,43648
"new.row.82","20020",2011,43839
"new.row.83","20020",2012,44216
"new.row.84","22520",2001,31376
"new.row.85","22520",2002,32543
"new.row.86","22520",2003,34288
"new.row.87","22520",2004,35554
"new.row.88","22520",2005,36310
"new.row.89","22520",2006,36964
"new.row.90","22520",2007,38302
"new.row.91","22520",2008,39791
"new.row.92","22520",2009,40677
"new.row.93","22520",2010,42554
"new.row.94","22520",2011,43009
"new.row.95","22520",2012,43154
"new.row.96","23460",2001,31108
"new.row.97","23460",2002,31749
"new.row.98","23460",2003,33236
"new.row.99","23460",2004,34371
"new.row.100","23460",2005,35270
"new.row.101","23460",2006,36248
"new.row.102","23460",2007,37872
"new.row.103","23460",2008,38847
"new.row.104","23460",2009,40352
"new.row.105","23460",2010,41431
"new.row.106","23460",2011,41653
"new.row.107","23460",2012,41389
"new.row.108","26620",2001,44228
"new.row.109","26620",2002,46461
"new.row.110","26620",2003,48776
"new.row.111","26620",2004,49984
"new.row.112","26620",2005,52152
"new.row.113","26620",2006,54422
"new.row.114","26620",2007,55738
"new.row.115","26620",2008,57795
"new.row.116","26620",2009,60508
"new.row.117","26620",2010,62749
"new.row.118","26620",2011,64471
"new.row.119","26620",2012,64841
"new.row.120","33660",2001,35683
"new.row.121","33660",2002,36495
