"","msa.fips","year","average.earnings.per.job"
"new.row","11500",1969,5763
"new.row.1","11500",1970,6028
"new.row.2","11500",1971,6718
"new.row.3","11500",1972,7336
"new.row.4","11500",1973,7765
"new.row.5","11500",1974,8300
"new.row.6","11500",1975,9183
"new.row.7","11500",1976,9956
"new.row.8","11500",1977,10740
"new.row.9","11500",1978,11516
"new.row.10","11500",1979,12350
"new.row.11","11500",1980,13778
"new.row.12","11500",1981,15341
"new.row.13","11500",1982,16284
"new.row.14","11500",1983,17142
"new.row.15","11500",1984,18263
"new.row.16","11500",1985,19191
"new.row.17","11500",1986,19904
"new.row.18","11500",1987,20453
"new.row.19","11500",1988,21030
"new.row.20","11500",1989,21770
"new.row.21","11500",1990,22397
"new.row.22","11500",1991,23839
"new.row.23","11500",1992,24496
"new.row.24","11500",1993,24667
"new.row.25","11500",1994,25588
"new.row.26","11500",1995,26002
"new.row.27","11500",1996,26138
"new.row.28","11500",1997,26520
"new.row.29","11500",1998,27807
"new.row.30","11500",1999,28686
"new.row.31","11500",2000,28560
"new.row.32","11500",2001,29935
"new.row.33","11500",2002,31179
"new.row.34","11500",2003,32631
"new.row.35","11500",2004,34187
"new.row.36","11500",2005,35879
"new.row.37","11500",2006,37299
"new.row.38","11500",2007,38750
"new.row.39","11500",2008,40483
"new.row.40","11500",2009,41303
"new.row.41","11500",2010,42498
"new.row.42","11500",2011,42663
"new.row.43","11500",2012,42011
"new.row.44","12220",1969,5170
"new.row.45","12220",1970,5503
"new.row.46","12220",1971,6053
"new.row.47","12220",1972,6582
"new.row.48","12220",1973,7143
"new.row.49","12220",1974,7748
"new.row.50","12220",1975,8315
"new.row.51","12220",1976,9062
"new.row.52","12220",1977,10061
"new.row.53","12220",1978,11052
"new.row.54","12220",1979,11935
"new.row.55","12220",1980,13039
"new.row.56","12220",1981,14217
"new.row.57","12220",1982,14637
"new.row.58","12220",1983,15918
"new.row.59","12220",1984,16707
"new.row.60","12220",1985,17615
"new.row.61","12220",1986,18246
"new.row.62","12220",1987,18812
"new.row.63","12220",1988,19674
"new.row.64","12220",1989,20591
"new.row.65","12220",1990,21585
"new.row.66","12220",1991,22079
"new.row.67","12220",1992,23401
"new.row.68","12220",1993,23945
"new.row.69","12220",1994,24837
"new.row.70","12220",1995,24834
"new.row.71","12220",1996,24755
"new.row.72","12220",1997,25630
"new.row.73","12220",1998,26980
"new.row.74","12220",1999,28372
"new.row.75","12220",2000,28343
"new.row.76","12220",2001,28999
"new.row.77","12220",2002,30105
"new.row.78","12220",2003,31131
