"","msa.fips","year","average.wage.per.job"
"new.row","11500",1969,4979
"new.row.1","11500",1970,5250
"new.row.2","11500",1971,5803
"new.row.3","11500",1972,6302
"new.row.4","11500",1973,6651
"new.row.5","11500",1974,7143
"new.row.6","11500",1975,7751
"new.row.7","11500",1976,8373
"new.row.8","11500",1977,9030
"new.row.9","11500",1978,9707
"new.row.10","11500",1979,10456
"new.row.11","11500",1980,11674
"new.row.12","11500",1981,12965
"new.row.13","11500",1982,13795
"new.row.14","11500",1983,14535
"new.row.15","11500",1984,15363
"new.row.16","11500",1985,16183
"new.row.17","11500",1986,16817
"new.row.18","11500",1987,17450
"new.row.19","11500",1988,17794
"new.row.20","11500",1989,18246
"new.row.21","11500",1990,18933
"new.row.22","11500",1991,20043
"new.row.23","11500",1992,20516
"new.row.24","11500",1993,20852
"new.row.25","11500",1994,21694
"new.row.26","11500",1995,22312
"new.row.27","11500",1996,22513
"new.row.28","11500",1997,22896
"new.row.29","11500",1998,23822
"new.row.30","11500",1999,24501
"new.row.31","11500",2000,24972
"new.row.32","11500",2001,26137
"new.row.33","11500",2002,27182
"new.row.34","11500",2003,28487
"new.row.35","11500",2004,29568
"new.row.36","11500",2005,30880
"new.row.37","11500",2006,32285
"new.row.38","11500",2007,34186
"new.row.39","11500",2008,35808
"new.row.40","11500",2009,36276
"new.row.41","11500",2010,36876
"new.row.42","11500",2011,37179
"new.row.43","11500",2012,36841
"new.row.44","12220",1969,4550
"new.row.45","12220",1970,4802
"new.row.46","12220",1971,5240
"new.row.47","12220",1972,5666
"new.row.48","12220",1973,6132
"new.row.49","12220",1974,6732
"new.row.50","12220",1975,7221
"new.row.51","12220",1976,7778
"new.row.52","12220",1977,8626
"new.row.53","12220",1978,9421
"new.row.54","12220",1979,10183
"new.row.55","12220",1980,11220
"new.row.56","12220",1981,12246
"new.row.57","12220",1982,12648
"new.row.58","12220",1983,13731
"new.row.59","12220",1984,14464
"new.row.60","12220",1985,15310
"new.row.61","12220",1986,15980
"new.row.62","12220",1987,16596
"new.row.63","12220",1988,17153
"new.row.64","12220",1989,17800
"new.row.65","12220",1990,18639
"new.row.66","12220",1991,18945
"new.row.67","12220",1992,19659
"new.row.68","12220",1993,20136
"new.row.69","12220",1994,20725
"new.row.70","12220",1995,21055
"new.row.71","12220",1996,21066
"new.row.72","12220",1997,21711
"new.row.73","12220",1998,22505
"new.row.74","12220",1999,23480
"new.row.75","12220",2000,23830
"new.row.76","12220",2001,24814
"new.row.77","12220",2002,25284
"new.row.78","12220",2003,26610
"new.row.79","12220",2004,27793
"new.row.80","12220",2005,28343
"new.row.81","12220",2006,29548
"new.row.82","12220",2007,30518
"new.row.83","12220",2008,31701
"new.row.84","12220",2009,32285
"new.row.85","12220",2010,32314
"new.row.86","12220",2011,32745
"new.row.87","12220",2012,33089
"new.row.88","13820",1969,5784
"new.row.89","13820",1970,6144
"new.row.90","13820",1971,6568
"new.row.91","13820",1972,7063
"new.row.92","13820",1973,7654
"new.row.93","13820",1974,8421
"new.row.94","13820",1975,9100
"new.row.95","13820",1976,9867
"new.row.96","13820",1977,10556
"new.row.97","13820",1978,11574
"new.row.98","13820",1979,12583
"new.row.99","13820",1980,13677
"new.row.100","13820",1981,14818
"new.row.101","13820",1982,15677
"new.row.102","13820",1983,16456
"new.row.103","13820",1984,17325
"new.row.104","13820",1985,18234
"new.row.105","13820",1986,18753
"new.row.106","13820",1987,19439
"new.row.107","13820",1988,20312
"new.row.108","13820",1989,21059
"new.row.109","13820",1990,22119
"new.row.110","13820",1991,22963
"new.row.111","13820",1992,23978
"new.row.112","13820",1993,24581
"new.row.113","13820",1994,25597
"new.row.114","13820",1995,26526
"new.row.115","13820",1996,27632
"new.row.116","13820",1997,28677
"new.row.117","13820",1998,29646
"new.row.118","13820",1999,31093
"new.row.119","13820",2000,32308
"new.row.120","13820",2001,33527
"new.row.121","13820",2002,34820
"new.row.122","13820",2003,35990
"new.row.123","13820",2004,37532
"new.row.124","13820",2005,38986
"new.row.125","13820",2006,40409
"new.row.126","13820",2007,42166
"new.row.127","13820",2008,43265
"new.row.128","13820",2009,43323
"new.row.129","13820",2010,44002
"new.row.130","13820",2011,45145
"new.row.131","13820",2012,46605
"new.row.132","17980",1969,4917
"new.row.133","17980",1970,5419
"new.row.134","17980",1971,5871
"new.row.135","17980",1972,6351
"new.row.136","17980",1973,6807
"new.row.137","17980",1974,7312
"new.row.138","17980",1975,7816
"new.row.139","17980",1976,8341
"new.row.140","17980",1977,8857
"new.row.141","17980",1978,9546
"new.row.142","17980",1979,10239
"new.row.143","17980",1980,11063
"new.row.144","17980",1981,12227
"new.row.145","17980",1982,12875
"new.row.146","17980",1983,13631
"new.row.147","17980",1984,14371
"new.row.148","17980",1985,15148
"new.row.149","17980",1986,15969
"new.row.150","17980",1987,16770
"new.row.151","17980",1988,17218
"new.row.152","17980",1989,17910
"new.row.153","17980",1990,19085
"new.row.154","17980",1991,20293
"new.row.155","17980",1992,21204
"new.row.156","17980",1993,21516
"new.row.157","17980",1994,22179
"new.row.158","17980",1995,22938
"new.row.159","17980",1996,23465
"new.row.160","17980",1997,24746
"new.row.161","17980",1998,25523
"new.row.162","17980",1999,26656
"new.row.163","17980",2000,27599
"new.row.164","17980",2001,29148
"new.row.165","17980",2002,30217
"new.row.166","17980",2003,31316
"new.row.167","17980",2004,32104
"new.row.168","17980",2005,33969
"new.row.169","17980",2006,35451
"new.row.170","17980",2007,37608
"new.row.171","17980",2008,38803
"new.row.172","17980",2009,39607
"new.row.173","17980",2010,40592
"new.row.174","17980",2011,41742
"new.row.175","17980",2012,42609
"new.row.176","19300",1969,3860
"new.row.177","19300",1970,4164
"new.row.178","19300",1971,4464
"new.row.179","19300",1972,4840
"new.row.180","19300",1973,5293
"new.row.181","19300",1974,5881
"new.row.182","19300",1975,6259
"new.row.183","19300",1976,6915
