"","msa.fips","year","contributions.for.government.social.insurance"
"new.row","11500",1969,16672
"new.row.1","11500",1970,17108
"new.row.2","11500",1971,19851
"new.row.3","11500",1972,23011
"new.row.4","11500",1973,28220
"new.row.5","11500",1974,32063
"new.row.6","11500",1975,35211
"new.row.7","11500",1976,41974
"new.row.8","11500",1977,46902
"new.row.9","11500",1978,51361
"new.row.10","11500",1979,58250
"new.row.11","11500",1980,64661
"new.row.12","11500",1981,75631
"new.row.13","11500",1982,78852
"new.row.14","11500",1983,89775
"new.row.15","11500",1984,101706
"new.row.16","11500",1985,109242
"new.row.17","11500",1986,114975
"new.row.18","11500",1987,120758
"new.row.19","11500",1988,133514
"new.row.20","11500",1989,139596
"new.row.21","11500",1990,146927
"new.row.22","11500",1991,155902
"new.row.23","11500",1992,163388
"new.row.24","11500",1993,170059
"new.row.25","11500",1994,175668
"new.row.26","11500",1995,183008
"new.row.27","11500",1996,185003
"new.row.28","11500",1997,193510
"new.row.29","11500",1998,201921
"new.row.30","11500",1999,205195
"new.row.31","11500",2000,198748
"new.row.32","11500",2001,205699
"new.row.33","11500",2002,216128
"new.row.34","11500",2003,228809
"new.row.35","11500",2004,244576
"new.row.36","11500",2005,259969
"new.row.37","11500",2006,273804
"new.row.38","11500",2007,296581
"new.row.39","11500",2008,307609
"new.row.40","11500",2009,299301
"new.row.41","11500",2010,304572
"new.row.42","11500",2011,276761
"new.row.43","11500",2012,269565
"new.row.44","11500",2013,290835
"new.row.45","12220",1969,9898
"new.row.46","12220",1970,10502
"new.row.47","12220",1971,11785
"new.row.48","12220",1972,14043
"new.row.49","12220",1973,18356
"new.row.50","12220",1974,20983
"new.row.51","12220",1975,22484
"new.row.52","12220",1976,25925
"new.row.53","12220",1977,30185
"new.row.54","12220",1978,35197
"new.row.55","12220",1979,39515
"new.row.56","12220",1980,44732
"new.row.57","12220",1981,52583
"new.row.58","12220",1982,54923
"new.row.59","12220",1983,61834
"new.row.60","12220",1984,70998
"new.row.61","12220",1985,74576
"new.row.62","12220",1986,77162
"new.row.63","12220",1987,81299
"new.row.64","12220",1988,92555
"new.row.65","12220",1989,101734
"new.row.66","12220",1990,107168
"new.row.67","12220",1991,109328
"new.row.68","12220",1992,117463
"new.row.69","12220",1993,122334
"new.row.70","12220",1994,130330
"new.row.71","12220",1995,137145
"new.row.72","12220",1996,140354
"new.row.73","12220",1997,149463
"new.row.74","12220",1998,154718
"new.row.75","12220",1999,163661
"new.row.76","12220",2000,169732
"new.row.77","12220",2001,175005
"new.row.78","12220",2002,186824
"new.row.79","12220",2003,198807
"new.row.80","12220",2004,218437
"new.row.81","12220",2005,232306
"new.row.82","12220",2006,249739
"new.row.83","12220",2007,263562
"new.row.84","12220",2008,274374
"new.row.85","12220",2009,271445
"new.row.86","12220",2010,277152
"new.row.87","12220",2011,258386
"new.row.88","12220",2012,267184
"new.row.89","12220",2013,313183
"new.row.90","13820",1969,162645
"new.row.91","13820",1970,173738
"new.row.92","13820",1971,192855
"new.row.93","13820",1972,227028
"new.row.94","13820",1973,294270
"new.row.95","13820",1974,342915
"new.row.96","13820",1975,369784
"new.row.97","13820",1976,421303
"new.row.98","13820",1977,470235
"new.row.99","13820",1978,542754
"new.row.100","13820",1979,624297
"new.row.101","13820",1980,664144
"new.row.102","13820",1981,761085
"new.row.103","13820",1982,805117
"new.row.104","13820",1983,862930
"new.row.105","13820",1984,967766
"new.row.106","13820",1985,1061632
"new.row.107","13820",1986,1130344
"new.row.108","13820",1987,1188957
"new.row.109","13820",1988,1327582
"new.row.110","13820",1989,1408124
"new.row.111","13820",1990,1532422
"new.row.112","13820",1991,1617462
"new.row.113","13820",1992,1717648
"new.row.114","13820",1993,1809071
"new.row.115","13820",1994,1947552
"new.row.116","13820",1995,2080193
"new.row.117","13820",1996,2182000
"new.row.118","13820",1997,2287542
"new.row.119","13820",1998,2417057
"new.row.120","13820",1999,2557770
"new.row.121","13820",2000,2685104
"new.row.122","13820",2001,2784934
"new.row.123","13820",2002,2895606
"new.row.124","13820",2003,2979867
"new.row.125","13820",2004,3118017
"new.row.126","13820",2005,3279228
"new.row.127","13820",2006,3444860
"new.row.128","13820",2007,3610118
"new.row.129","13820",2008,3704171
"new.row.130","13820",2009,3557933
"new.row.131","13820",2010,3600684
"new.row.132","13820",2011,3315151
"new.row.133","13820",2012,3461080
"new.row.134","13820",2013,3996849
"new.row.135","17980",1969,48015
"new.row.136","17980",1970,48177
"new.row.137","17980",1971,53641
"new.row.138","17980",1972,57423
"new.row.139","17980",1973,68631
"new.row.140","17980",1974,77488
"new.row.141","17980",1975,82812
"new.row.142","17980",1976,95249
"new.row.143","17980",1977,105422
"new.row.144","17980",1978,117710
"new.row.145","17980",1979,130304
"new.row.146","17980",1980,140753
"new.row.147","17980",1981,161549
"new.row.148","17980",1982,172529
"new.row.149","17980",1983,191025
"new.row.150","17980",1984,220938
"new.row.151","17980",1985,242822
"new.row.152","17980",1986,264403
"new.row.153","17980",1987,283897
"new.row.154","17980",1988,312127
"new.row.155","17980",1989,325526
"new.row.156","17980",1990,345931
"new.row.157","17980",1991,363116
"new.row.158","17980",1992,395433
"new.row.159","17980",1993,409946
"new.row.160","17980",1994,426663
"new.row.161","17980",1995,439992
"new.row.162","17980",1996,458774
"new.row.163","17980",1997,490039
"new.row.164","17980",1998,521682
"new.row.165","17980",1999,549138
"new.row.166","17980",2000,569970
"new.row.167","17980",2001,591539
"new.row.168","17980",2002,605755
"new.row.169","17980",2003,628484
"new.row.170","17980",2004,669831
"new.row.171","17980",2005,708684
"new.row.172","17980",2006,748245
"new.row.173","17980",2007,768970
"new.row.174","17980",2008,824403
"new.row.175","17980",2009,840594
"new.row.176","17980",2010,876009
"new.row.177","17980",2011,823352
"new.row.178","17980",2012,858112
"new.row.179","17980",2013,966122
"new.row.180","19300",1969,5642
"new.row.181","19300",1970,6114
"new.row.182","19300",1971,6919
"new.row.183","19300",1972,8432
"new.row.184","19300",1973,11236
"new.row.185","19300",1974,13293
"new.row.186","19300",1975,14691
"new.row.187","19300",1976,17619
"new.row.188","19300",1977,19938
"new.row.189","19300",1978,21698
"new.row.190","19300",1979,25020
"new.row.191","19300",1980,26899
"new.row.192","19300",1981,32488
"new.row.193","19300",1982,34874
"new.row.194","19300",1983,39552
"new.row.195","19300",1984,45773
"new.row.196","19300",1985,50457
"new.row.197","19300",1986,53058
"new.row.198","19300",1987,56032
"new.row.199","19300",1988,61784
"new.row.200","19300",1989,67238
"new.row.201","19300",1990,74867
"new.row.202","19300",1991,82626
"new.row.203","19300",1992,90355
"new.row.204","19300",1993,101564
"new.row.205","19300",1994,116179
"new.row.206","19300",1995,129353
"new.row.207","19300",1996,140649
"new.row.208","19300",1997,154450
"new.row.209","19300",1998,171534
"new.row.210","19300",1999,187356
"new.row.211","19300",2000,199934
"new.row.212","19300",2001,208657
"new.row.213","19300",2002,221574
"new.row.214","19300",2003,236839
"new.row.215","19300",2004,258335
"new.row.216","19300",2005,288735
"new.row.217","19300",2006,319346
"new.row.218","19300",2007,343575
"new.row.219","19300",2008,353878
"new.row.220","19300",2009,341866
"new.row.221","19300",2010,352483
"new.row.222","19300",2011,330635
"new.row.223","19300",2012,339444
"new.row.224","19300",2013,400247
"new.row.225","19460",1969,16156
"new.row.226","19460",1970,18344
"new.row.227","19460",1971,19308
"new.row.228","19460",1972,22367
"new.row.229","19460",1973,29339
"new.row.230","19460",1974,35236
"new.row.231","19460",1975,39306
"new.row.232","19460",1976,43639
"new.row.233","19460",1977,49012
"new.row.234","19460",1978,58621
"new.row.235","19460",1979,68680
"new.row.236","19460",1980,69876
"new.row.237","19460",1981,81159
"new.row.238","19460",1982,85271
"new.row.239","19460",1983,92425
"new.row.240","19460",1984,104725
"new.row.241","19460",1985,113028
"new.row.242","19460",1986,118461
"new.row.243","19460",1987,125489
"new.row.244","19460",1988,138353
"new.row.245","19460",1989,149201
"new.row.246","19460",1990,163235
"new.row.247","19460",1991,176513
"new.row.248","19460",1992,184644
"new.row.249","19460",1993,197412
"new.row.250","19460",1994,205850
"new.row.251","19460",1995,217009
"new.row.252","19460",1996,224534
"new.row.253","19460",1997,235839
"new.row.254","19460",1998,251513
"new.row.255","19460",1999,265226
"new.row.256","19460",2000,269690
"new.row.257","19460",2001,281352
"new.row.258","19460",2002,276138
"new.row.259","19460",2003,282093
"new.row.260","19460",2004,298061
"new.row.261","19460",2005,311223
"new.row.262","19460",2006,324461
"new.row.263","19460",2007,342415
"new.row.264","19460",2008,349815
"new.row.265","19460",2009,333141
"new.row.266","19460",2010,348052
"new.row.267","19460",2011,322026
"new.row.268","19460",2012,328322
"new.row.269","19460",2013,375637
"new.row.270","20020",1969,12138
"new.row.271","20020",1970,13410
"new.row.272","20020",1971,15620
"new.row.273","20020",1972,19290
"new.row.274","20020",1973,28113
"new.row.275","20020",1974,33309
"new.row.276","20020",1975,33482
"new.row.277","20020",1976,41752
"new.row.278","20020",1977,46462
"new.row.279","20020",1978,53693
"new.row.280","20020",1979,59092
"new.row.281","20020",1980,67832
"new.row.282","20020",1981,76922
"new.row.283","20020",1982,78952
"new.row.284","20020",1983,84530
