"","msa.fips","year","farm.personal.income"
"new.row","11500",1969,2819
"new.row.1","11500",1970,2060
"new.row.2","11500",1971,2079
"new.row.3","11500",1972,2760
"new.row.4","11500",1973,5653
"new.row.5","11500",1974,2361
"new.row.6","11500",1975,5645
"new.row.7","11500",1976,4717
"new.row.8","11500",1977,4843
"new.row.9","11500",1978,5291
"new.row.10","11500",1979,5018
"new.row.11","11500",1980,4363
"new.row.12","11500",1981,3838
"new.row.13","11500",1982,4565
"new.row.14","11500",1983,2317
"new.row.15","11500",1984,2705
"new.row.16","11500",1985,2923
"new.row.17","11500",1986,3838
"new.row.18","11500",1987,285
"new.row.19","11500",1988,3416
"new.row.20","11500",1989,14481
"new.row.21","11500",1990,17276
"new.row.22","11500",1991,22576
"new.row.23","11500",1992,12059
"new.row.24","11500",1993,15821
"new.row.25","11500",1994,11935
"new.row.26","11500",1995,12439
"new.row.27","11500",1996,15667
"new.row.28","11500",1997,16813
"new.row.29","11500",1998,13876
"new.row.30","11500",1999,7608
"new.row.31","11500",2000,4767
"new.row.32","11500",2001,9961
"new.row.33","11500",2002,5685
"new.row.34","11500",2003,7343
"new.row.35","11500",2004,10565
"new.row.36","11500",2005,16087
"new.row.37","11500",2006,7007
"new.row.38","11500",2007,6673
"new.row.39","11500",2008,9120
"new.row.40","11500",2009,9696
"new.row.41","11500",2010,7030
"new.row.42","11500",2011,2512
"new.row.43","11500",2012,4898
"new.row.44","12220",1969,2208
"new.row.45","12220",1970,2176
"new.row.46","12220",1971,2800
"new.row.47","12220",1972,3275
"new.row.48","12220",1973,4169
"new.row.49","12220",1974,1899
"new.row.50","12220",1975,1573
"new.row.51","12220",1976,3455
"new.row.52","12220",1977,4197
"new.row.53","12220",1978,6576
"new.row.54","12220",1979,7078
"new.row.55","12220",1980,6342
"new.row.56","12220",1981,6336
"new.row.57","12220",1982,6040
"new.row.58","12220",1983,4790
"new.row.59","12220",1984,3540
"new.row.60","12220",1985,4653
"new.row.61","12220",1986,3746
"new.row.62","12220",1987,4825
"new.row.63","12220",1988,5119
"new.row.64","12220",1989,5218
"new.row.65","12220",1990,5951
"new.row.66","12220",1991,9376
"new.row.67","12220",1992,6567
"new.row.68","12220",1993,16964
"new.row.69","12220",1994,8731
"new.row.70","12220",1995,8338
"new.row.71","12220",1996,5467
"new.row.72","12220",1997,5832
"new.row.73","12220",1998,4868
"new.row.74","12220",1999,4008
"new.row.75","12220",2000,3438
"new.row.76","12220",2001,4828
"new.row.77","12220",2002,6808
"new.row.78","12220",2003,6951
"new.row.79","12220",2004,9117
"new.row.80","12220",2005,6243
"new.row.81","12220",2006,7627
"new.row.82","12220",2007,7257
"new.row.83","12220",2008,3798
"new.row.84","12220",2009,5093
"new.row.85","12220",2010,1727
"new.row.86","12220",2011,740
"new.row.87","12220",2012,1772
"new.row.88","13820",1969,26658
"new.row.89","13820",1970,17201
"new.row.90","13820",1971,19208
"new.row.91","13820",1972,25674
"new.row.92","13820",1973,43160
"new.row.93","13820",1974,18485
"new.row.94","13820",1975,35565
"new.row.95","13820",1976,35456
"new.row.96","13820",1977,39618
"new.row.97","13820",1978,34924
"new.row.98","13820",1979,42265
"new.row.99","13820",1980,28206
"new.row.100","13820",1981,28527
"new.row.101","13820",1982,32978
"new.row.102","13820",1983,28167
"new.row.103","13820",1984,35761
"new.row.104","13820",1985,39828
"new.row.105","13820",1986,25422
"new.row.106","13820",1987,37564
"new.row.107","13820",1988,62009
"new.row.108","13820",1989,88408
"new.row.109","13820",1990,85903
"new.row.110","13820",1991,109175
"new.row.111","13820",1992,95901
"new.row.112","13820",1993,110628
"new.row.113","13820",1994,84044
"new.row.114","13820",1995,82855
"new.row.115","13820",1996,76130
"new.row.116","13820",1997,88314
"new.row.117","13820",1998,107341
"new.row.118","13820",1999,93875
"new.row.119","13820",2000,65005
"new.row.120","13820",2001,104208
"new.row.121","13820",2002,73025
"new.row.122","13820",2003,99197
"new.row.123","13820",2004,118282
"new.row.124","13820",2005,98679
"new.row.125","13820",2006,44677
"new.row.126","13820",2007,32364
"new.row.127","13820",2008,34840
"new.row.128","13820",2009,34963
"new.row.129","13820",2010,18027
"new.row.130","13820",2011,-16361
"new.row.131","13820",2012,19418
"new.row.132","17980",1969,4190
"new.row.133","17980",1970,3968
"new.row.134","17980",1971,4095
"new.row.135","17980",1972,4720
"new.row.136","17980",1973,6824
"new.row.137","17980",1974,5740
"new.row.138","17980",1975,4463
"new.row.139","17980",1976,6962
"new.row.140","17980",1977,3857
"new.row.141","17980",1978,6322
"new.row.142","17980",1979,8521
"new.row.143","17980",1980,5713
"new.row.144","17980",1981,11547
"new.row.145","17980",1982,10674
"new.row.146","17980",1983,6816
"new.row.147","17980",1984,8893
"new.row.148","17980",1985,5711
"new.row.149","17980",1986,4401
"new.row.150","17980",1987,6995
"new.row.151","17980",1988,9321
"new.row.152","17980",1989,9575
"new.row.153","17980",1990,7784
"new.row.154","17980",1991,11869
"new.row.155","17980",1992,11442
"new.row.156","17980",1993,12216
"new.row.157","17980",1994,15399
"new.row.158","17980",1995,10027
"new.row.159","17980",1996,14547
"new.row.160","17980",1997,13698
"new.row.161","17980",1998,16400
"new.row.162","17980",1999,22368
"new.row.163","17980",2000,15106
"new.row.164","17980",2001,19769
"new.row.165","17980",2002,15622
"new.row.166","17980",2003,19800
"new.row.167","17980",2004,18829
"new.row.168","17980",2005,18827
"new.row.169","17980",2006,13727
"new.row.170","17980",2007,8382
"new.row.171","17980",2008,16595
"new.row.172","17980",2009,11982
"new.row.173","17980",2010,7512
"new.row.174","17980",2011,5727
"new.row.175","17980",2012,17875
"new.row.176","19300",1969,6504
"new.row.177","19300",1970,5715
"new.row.178","19300",1971,8700
"new.row.179","19300",1972,9508
"new.row.180","19300",1973,20342
"new.row.181","19300",1974,17717
"new.row.182","19300",1975,16004
"new.row.183","19300",1976,27505
"new.row.184","19300",1977,9230
"new.row.185","19300",1978,20530
"new.row.186","19300",1979,3929
"new.row.187","19300",1980,1416
"new.row.188","19300",1981,10183
"new.row.189","19300",1982,266
"new.row.190","19300",1983,6726
"new.row.191","19300",1984,4603
"new.row.192","19300",1985,13770
"new.row.193","19300",1986,8906
"new.row.194","19300",1987,13764
"new.row.195","19300",1988,14306
"new.row.196","19300",1989,17679
"new.row.197","19300",1990,11153
"new.row.198","19300",1991,17195
"new.row.199","19300",1992,20491
"new.row.200","19300",1993,25913
"new.row.201","19300",1994,21303
"new.row.202","19300",1995,22555
"new.row.203","19300",1996,23464
"new.row.204","19300",1997,22960
"new.row.205","19300",1998,4503
"new.row.206","19300",1999,20343
"new.row.207","19300",2000,14781
"new.row.208","19300",2001,9986
"new.row.209","19300",2002,2768
"new.row.210","19300",2003,16202
"new.row.211","19300",2004,18365
"new.row.212","19300",2005,9029
"new.row.213","19300",2006,16430
"new.row.214","19300",2007,14373
"new.row.215","19300",2008,10799
"new.row.216","19300",2009,12098
"new.row.217","19300",2010,6544
"new.row.218","19300",2011,10845
"new.row.219","19300",2012,22731
"new.row.220","19460",1969,15960
"new.row.221","19460",1970,13216
"new.row.222","19460",1971,13531
"new.row.223","19460",1972,15911
"new.row.224","19460",1973,25417
"new.row.225","19460",1974,10372
"new.row.226","19460",1975,21863
"new.row.227","19460",1976,28056
"new.row.228","19460",1977,26915
"new.row.229","19460",1978,20859
"new.row.230","19460",1979,25709
"new.row.231","19460",1980,10060
"new.row.232","19460",1981,19700
"new.row.233","19460",1982,14732
"new.row.234","19460",1983,5216
"new.row.235","19460",1984,26541
"new.row.236","19460",1985,19488
"new.row.237","19460",1986,24985
"new.row.238","19460",1987,27022
"new.row.239","19460",1988,40889
"new.row.240","19460",1989,45168
"new.row.241","19460",1990,33093
"new.row.242","19460",1991,46087
"new.row.243","19460",1992,43437
"new.row.244","19460",1993,36450
"new.row.245","19460",1994,51036
"new.row.246","19460",1995,25018
"new.row.247","19460",1996,40178
"new.row.248","19460",1997,42316
"new.row.249","19460",1998,57666
"new.row.250","19460",1999,61705
"new.row.251","19460",2000,43349
"new.row.252","19460",2001,64156
"new.row.253","19460",2002,33338
"new.row.254","19460",2003,53880
"new.row.255","19460",2004,86859
"new.row.256","19460",2005,71912
"new.row.257","19460",2006,16429
"new.row.258","19460",2007,31582
"new.row.259","19460",2008,67980
"new.row.260","19460",2009,56850
"new.row.261","19460",2010,40141
"new.row.262","19460",2011,21424
"new.row.263","19460",2012,57656
"new.row.264","20020",1969,16526
"new.row.265","20020",1970,18002
"new.row.266","20020",1971,18446
"new.row.267","20020",1972,26087
"new.row.268","20020",1973,42096
"new.row.269","20020",1974,34045
"new.row.270","20020",1975,39999
"new.row.271","20020",1976,37960
"new.row.272","20020",1977,24493
"new.row.273","20020",1978,32828
"new.row.274","20020",1979,30892
"new.row.275","20020",1980,-14655
"new.row.276","20020",1981,44436
"new.row.277","20020",1982,23783
"new.row.278","20020",1983,9191
"new.row.279","20020",1984,55295
"new.row.280","20020",1985,28022
"new.row.281","20020",1986,21821
"new.row.282","20020",1987,34791
"new.row.283","20020",1988,59594
"new.row.284","20020",1989,75024
"new.row.285","20020",1990,53118
"new.row.286","20020",1991,82363
"new.row.287","20020",1992,75910
"new.row.288","20020",1993,61613
"new.row.289","20020",1994,79009
"new.row.290","20020",1995,76113
"new.row.291","20020",1996,62583
"new.row.292","20020",1997,45716
"new.row.293","20020",1998,54844
"new.row.294","20020",1999,78318
"new.row.295","20020",2000,38200
"new.row.296","20020",2001,94062
"new.row.297","20020",2002,93935
"new.row.298","20020",2003,85635
"new.row.299","20020",2004,85066
"new.row.300","20020",2005,89630
"new.row.301","20020",2006,56333
"new.row.302","20020",2007,55128
"new.row.303","20020",2008,81491
"new.row.304","20020",2009,51364
"new.row.305","20020",2010,43919
"new.row.306","20020",2011,42130
"new.row.307","20020",2012,95207
"new.row.308","22520",1969,9632
