"","msa.fips","year","population"
"new.row","11500",1969,102946
"new.row.1","11500",1970,103125
"new.row.2","11500",1971,103622
"new.row.3","11500",1972,103846
"new.row.4","11500",1973,105027
"new.row.5","11500",1974,105917
"new.row.6","11500",1975,107005
"new.row.7","11500",1976,112768
"new.row.8","11500",1977,112801
"new.row.9","11500",1978,116474
"new.row.10","11500",1979,116742
"new.row.11","11500",1980,120016
"new.row.12","11500",1981,120814
"new.row.13","11500",1982,122109
"new.row.14","11500",1983,121249
"new.row.15","11500",1984,121739
"new.row.16","11500",1985,118644
"new.row.17","11500",1986,117700
"new.row.18","11500",1987,118092
"new.row.19","11500",1988,117260
"new.row.20","11500",1989,116381
"new.row.21","11500",1990,116118
"new.row.22","11500",1991,115247
"new.row.23","11500",1992,115804
"new.row.24","11500",1993,116324
"new.row.25","11500",1994,116161
"new.row.26","11500",1995,116790
"new.row.27","11500",1996,116684
"new.row.28","11500",1997,117254
"new.row.29","11500",1998,117179
"new.row.30","11500",1999,114910
"new.row.31","11500",2000,111081
"new.row.32","11500",2001,111266
"new.row.33","11500",2002,111625
"new.row.34","11500",2003,112705
"new.row.35","11500",2004,113462
"new.row.36","11500",2005,114477
"new.row.37","11500",2006,115388
"new.row.38","11500",2007,116211
"new.row.39","11500",2008,117274
"new.row.40","11500",2009,118363
"new.row.41","11500",2010,118423
"new.row.42","11500",2011,117815
"new.row.43","11500",2012,117296
"new.row.44","12220",1969,55869
"new.row.45","12220",1970,61262
"new.row.46","12220",1971,61896
"new.row.47","12220",1972,62158
"new.row.48","12220",1973,64588
"new.row.49","12220",1974,68823
"new.row.50","12220",1975,69373
"new.row.51","12220",1976,69980
"new.row.52","12220",1977,71861
"new.row.53","12220",1978,74069
"new.row.54","12220",1979,75990
"new.row.55","12220",1980,76610
"new.row.56","12220",1981,77777
"new.row.57","12220",1982,79001
"new.row.58","12220",1983,79121
"new.row.59","12220",1984,80289
"new.row.60","12220",1985,81176
"new.row.61","12220",1986,82776
"new.row.62","12220",1987,82681
"new.row.63","12220",1988,84601
"new.row.64","12220",1989,85851
"new.row.65","12220",1990,87735
"new.row.66","12220",1991,89508
"new.row.67","12220",1992,91572
"new.row.68","12220",1993,94295
"new.row.69","12220",1994,96057
"new.row.70","12220",1995,99386
"new.row.71","12220",1996,102185
"new.row.72","12220",1997,106578
"new.row.73","12220",1998,109936
"new.row.74","12220",1999,112898
"new.row.75","12220",2000,115430
"new.row.76","12220",2001,116819
"new.row.77","12220",2002,118392
"new.row.78","12220",2003,120071
"new.row.79","12220",2004,122274
"new.row.80","12220",2005,126133
"new.row.81","12220",2006,129247
"new.row.82","12220",2007,131934
"new.row.83","12220",2008,134524
"new.row.84","12220",2009,138566
"new.row.85","12220",2010,140761
"new.row.86","12220",2011,143580
"new.row.87","12220",2012,147257
"new.row.88","13820",1969,816723
"new.row.89","13820",1970,834280
"new.row.90","13820",1971,845548
"new.row.91","13820",1972,852711
"new.row.92","13820",1973,864085
"new.row.93","13820",1974,870341
"new.row.94","13820",1975,883172
"new.row.95","13820",1976,895598
"new.row.96","13820",1977,908642
"new.row.97","13820",1978,919252
"new.row.98","13820",1979,927712
"new.row.99","13820",1980,930680
"new.row.100","13820",1981,930227
"new.row.101","13820",1982,926197
"new.row.102","13820",1983,927062
"new.row.103","13820",1984,931399
"new.row.104","13820",1985,936926
"new.row.105","13820",1986,941503
"new.row.106","13820",1987,948471
