"","msa.fips","year","proprietors.Income"
"new.row","11500",1969,20568
"new.row.1","11500",1970,20193
"new.row.2","11500",1971,21882
"new.row.3","11500",1972,25489
"new.row.4","11500",1973,29961
"new.row.5","11500",1974,28027
"new.row.6","11500",1975,34038
"new.row.7","11500",1976,38516
"new.row.8","11500",1977,40336
"new.row.9","11500",1978,45623
"new.row.10","11500",1979,46011
"new.row.11","11500",1980,48328
"new.row.12","11500",1981,46678
"new.row.13","11500",1982,44551
"new.row.14","11500",1983,49672
"new.row.15","11500",1984,59985
"new.row.16","11500",1985,64959
"new.row.17","11500",1986,70860
"new.row.18","11500",1987,70562
"new.row.19","11500",1988,86095
"new.row.20","11500",1989,98942
"new.row.21","11500",1990,97167
"new.row.22","11500",1991,108342
"new.row.23","11500",1992,103651
"new.row.24","11500",1993,111768
"new.row.25","11500",1994,113774
"new.row.26","11500",1995,114164
"new.row.27","11500",1996,119689
"new.row.28","11500",1997,121849
"new.row.29","11500",1998,141553
"new.row.30","11500",1999,157025
"new.row.31","11500",2000,135552
"new.row.32","11500",2001,148750
"new.row.33","11500",2002,152070
"new.row.34","11500",2003,154825
"new.row.35","11500",2004,173411
"new.row.36","11500",2005,196969
"new.row.37","11500",2006,212173
"new.row.38","11500",2007,196555
"new.row.39","11500",2008,177921
"new.row.40","11500",2009,174576
"new.row.41","11500",2010,181323
"new.row.42","11500",2011,194652
"new.row.43","11500",2012,203399
"new.row.44","11500",2013,218693
"new.row.45","12220",1969,12813
"new.row.46","12220",1970,13400
"new.row.47","12220",1971,15114
"new.row.48","12220",1972,17553
"new.row.49","12220",1973,19591
"new.row.50","12220",1974,18535
"new.row.51","12220",1975,19815
"new.row.52","12220",1976,25983
"new.row.53","12220",1977,29232
"new.row.54","12220",1978,35403
"new.row.55","12220",1979,37961
"new.row.56","12220",1980,38693
"new.row.57","12220",1981,38529
"new.row.58","12220",1982,36906
"new.row.59","12220",1983,41554
"new.row.60","12220",1984,45403
"new.row.61","12220",1985,49575
"new.row.62","12220",1986,51288
"new.row.63","12220",1987,54266
"new.row.64","12220",1988,58361
"new.row.65","12220",1989,59320
"new.row.66","12220",1990,66710
"new.row.67","12220",1991,75501
"new.row.68","12220",1992,84372
"new.row.69","12220",1993,105651
"new.row.70","12220",1994,104833
"new.row.71","12220",1995,107813
"new.row.72","12220",1996,109147
"new.row.73","12220",1997,117060
"new.row.74","12220",1998,168333
"new.row.75","12220",1999,184271
"new.row.76","12220",2000,163403
"new.row.77","12220",2001,157684
"new.row.78","12220",2002,189913
"new.row.79","12220",2003,164382
"new.row.80","12220",2004,171267
"new.row.81","12220",2005,187060
"new.row.82","12220",2006,215748
"new.row.83","12220",2007,209049
"new.row.84","12220",2008,223768
"new.row.85","12220",2009,230516
"new.row.86","12220",2010,257676
"new.row.87","12220",2011,300589
"new.row.88","12220",2012,325467
"new.row.89","12220",2013,347427
"new.row.90","13820",1969,195991
