"","msa.fips","year","proprietors.employment"
"new.row","11500",1969,4159
"new.row.1","11500",1970,4252
"new.row.2","11500",1971,4382
"new.row.3","11500",1972,4692
"new.row.4","11500",1973,4932
"new.row.5","11500",1974,5052
"new.row.6","11500",1975,5247
"new.row.7","11500",1976,5375
"new.row.8","11500",1977,5533
"new.row.9","11500",1978,5859
"new.row.10","11500",1979,5943
"new.row.11","11500",1980,6070
"new.row.12","11500",1981,5738
"new.row.13","11500",1982,5885
"new.row.14","11500",1983,6312
"new.row.15","11500",1984,6490
"new.row.16","11500",1985,6712
"new.row.17","11500",1986,6988
"new.row.18","11500",1987,7170
"new.row.19","11500",1988,7627
"new.row.20","11500",1989,7791
"new.row.21","11500",1990,8006
"new.row.22","11500",1991,8041
"new.row.23","11500",1992,8108
"new.row.24","11500",1993,8660
"new.row.25","11500",1994,8530
"new.row.26","11500",1995,8731
"new.row.27","11500",1996,8898
"new.row.28","11500",1997,9029
"new.row.29","11500",1998,8943
"new.row.30","11500",1999,8954
"new.row.31","11500",2000,9272
"new.row.32","11500",2001,9397
"new.row.33","11500",2002,9492
"new.row.34","11500",2003,9807
"new.row.35","11500",2004,10172
"new.row.36","11500",2005,10561
"new.row.37","11500",2006,10797
"new.row.38","11500",2007,11307
"new.row.39","11500",2008,10704
"new.row.40","11500",2009,10569
"new.row.41","11500",2010,10161
"new.row.42","11500",2011,10751
"new.row.43","11500",2012,10977
"new.row.44","12220",1969,2138
"new.row.45","12220",1970,1998
"new.row.46","12220",1971,2085
"new.row.47","12220",1972,2268
"new.row.48","12220",1973,2327
"new.row.49","12220",1974,2398
"new.row.50","12220",1975,2535
"new.row.51","12220",1976,2733
"new.row.52","12220",1977,2837
"new.row.53","12220",1978,3028
"new.row.54","12220",1979,3131
"new.row.55","12220",1980,3261
"new.row.56","12220",1981,3232
"new.row.57","12220",1982,3370
"new.row.58","12220",1983,3548
"new.row.59","12220",1984,3880
"new.row.60","12220",1985,4264
"new.row.61","12220",1986,4702
"new.row.62","12220",1987,5130
"new.row.63","12220",1988,5065
"new.row.64","12220",1989,5156
"new.row.65","12220",1990,5461
"new.row.66","12220",1991,5780
"new.row.67","12220",1992,5699
"new.row.68","12220",1993,6577
"new.row.69","12220",1994,6133
"new.row.70","12220",1995,6729
"new.row.71","12220",1996,6979
"new.row.72","12220",1997,6827
"new.row.73","12220",1998,7718
"new.row.74","12220",1999,7779
"new.row.75","12220",2000,8117
"new.row.76","12220",2001,8604
"new.row.77","12220",2002,8734
"new.row.78","12220",2003,9119
"new.row.79","12220",2004,9936
"new.row.80","12220",2005,10833
"new.row.81","12220",2006,11614
"new.row.82","12220",2007,12724
"new.row.83","12220",2008,13515
"new.row.84","12220",2009,14235
"new.row.85","12220",2010,14239
"new.row.86","12220",2011,15457
"new.row.87","12220",2012,15865
"new.row.88","13820",1969,35383
"new.row.89","13820",1970,35289
"new.row.90","13820",1971,37234
"new.row.91","13820",1972,39402
"new.row.92","13820",1973,41328
"new.row.93","13820",1974,41935
"new.row.94","13820",1975,43485
"new.row.95","13820",1976,44516
"new.row.96","13820",1977,45896
"new.row.97","13820",1978,48677
"new.row.98","13820",1979,48931
"new.row.99","13820",1980,49656
"new.row.100","13820",1981,49452
"new.row.101","13820",1982,50459
"new.row.102","13820",1983,52432
"new.row.103","13820",1984,54392
"new.row.104","13820",1985,56801
"new.row.105","13820",1986,59641
"new.row.106","13820",1987,60974
"new.row.107","13820",1988,63684
"new.row.108","13820",1989,62770
"new.row.109","13820",1990,66028
"new.row.110","13820",1991,67388
"new.row.111","13820",1992,67333
"new.row.112","13820",1993,73018
"new.row.113","13820",1994,71617
"new.row.114","13820",1995,73881
"new.row.115","13820",1996,78368
"new.row.116","13820",1997,80522
"new.row.117","13820",1998,81364
"new.row.118","13820",1999,84011
"new.row.119","13820",2000,87867
"new.row.120","13820",2001,92709
"new.row.121","13820",2002,95892
"new.row.122","13820",2003,99059
"new.row.123","13820",2004,106766
"new.row.124","13820",2005,114204
"new.row.125","13820",2006,120244
"new.row.126","13820",2007,130030
"new.row.127","13820",2008,132319
"new.row.128","13820",2009,133746
"new.row.129","13820",2010,133634
"new.row.130","13820",2011,139264
"new.row.131","13820",2012,142786
"new.row.132","17980",1969,10005
"new.row.133","17980",1970,10023
"new.row.134","17980",1971,10821
"new.row.135","17980",1972,10586
"new.row.136","17980",1973,10922
"new.row.137","17980",1974,11109
"new.row.138","17980",1975,11586
"new.row.139","17980",1976,12085
"new.row.140","17980",1977,12125
"new.row.141","17980",1978,12167
"new.row.142","17980",1979,12351
"new.row.143","17980",1980,12538
"new.row.144","17980",1981,12204
"new.row.145","17980",1982,12274
"new.row.146","17980",1983,12205
"new.row.147","17980",1984,12385
"new.row.148","17980",1985,12773
"new.row.149","17980",1986,12954
"new.row.150","17980",1987,12178
"new.row.151","17980",1988,12746
"new.row.152","17980",1989,12670
"new.row.153","17980",1990,13067
"new.row.154","17980",1991,13610
"new.row.155","17980",1992,13753
"new.row.156","17980",1993,14660
"new.row.157","17980",1994,14339
"new.row.158","17980",1995,14892
"new.row.159","17980",1996,15516
"new.row.160","17980",1997,15807
"new.row.161","17980",1998,16115
"new.row.162","17980",1999,16695
"new.row.163","17980",2000,17793
"new.row.164","17980",2001,17936
"new.row.165","17980",2002,18682
"new.row.166","17980",2003,20203
"new.row.167","17980",2004,22156
"new.row.168","17980",2005,23822
"new.row.169","17980",2006,24862
"new.row.170","17980",2007,26296
"new.row.171","17980",2008,26754
"new.row.172","17980",2009,29232
"new.row.173","17980",2010,31452
"new.row.174","17980",2011,34991
"new.row.175","17980",2012,35958
"new.row.176","19300",1969,5122
"new.row.177","19300",1970,5036
"new.row.178","19300",1971,5348
"new.row.179","19300",1972,5719
"new.row.180","19300",1973,5792
"new.row.181","19300",1974,6066
"new.row.182","19300",1975,6206
"new.row.183","19300",1976,6532
"new.row.184","19300",1977,6714
"new.row.185","19300",1978,7115
"new.row.186","19300",1979,7302
"new.row.187","19300",1980,7558
"new.row.188","19300",1981,7512
"new.row.189","19300",1982,7923
"new.row.190","19300",1983,8673
"new.row.191","19300",1984,8689
"new.row.192","19300",1985,8779
"new.row.193","19300",1986,8909
"new.row.194","19300",1987,8800
"new.row.195","19300",1988,9478
"new.row.196","19300",1989,9456
"new.row.197","19300",1990,9818
"new.row.198","19300",1991,10326
"new.row.199","19300",1992,10664
"new.row.200","19300",1993,11593
"new.row.201","19300",1994,12214
"new.row.202","19300",1995,12912
"new.row.203","19300",1996,13654
"new.row.204","19300",1997,14671
"new.row.205","19300",1998,15342
"new.row.206","19300",1999,15553
"new.row.207","19300",2000,16270
"new.row.208","19300",2001,17402
"new.row.209","19300",2002,17518
"new.row.210","19300",2003,18481
"new.row.211","19300",2004,19666
"new.row.212","19300",2005,21180
"new.row.213","19300",2006,22329
"new.row.214","19300",2007,24082
"new.row.215","19300",2008,25223
"new.row.216","19300",2009,25329
"new.row.217","19300",2010,25750
"new.row.218","19300",2011,26522
"new.row.219","19300",2012,27191
"new.row.220","19460",1969,7229
"new.row.221","19460",1970,7086
"new.row.222","19460",1971,7467
"new.row.223","19460",1972,7774
"new.row.224","19460",1973,7853
"new.row.225","19460",1974,8046
"new.row.226","19460",1975,8299
"new.row.227","19460",1976,8556
"new.row.228","19460",1977,8649
"new.row.229","19460",1978,8926
"new.row.230","19460",1979,8865
"new.row.231","19460",1980,8858
"new.row.232","19460",1981,8564
"new.row.233","19460",1982,8618
"new.row.234","19460",1983,9115
"new.row.235","19460",1984,9602
"new.row.236","19460",1985,10180
"new.row.237","19460",1986,10867
