"","msa.fips","year","supplements.to.wages.and.salaries"
"new.row","11500",1969,38436
"new.row.1","11500",1970,38413
"new.row.2","11500",1971,46582
"new.row.3","11500",1972,54033
"new.row.4","11500",1973,57770
"new.row.5","11500",1974,66170
"new.row.6","11500",1975,79153
"new.row.7","11500",1976,90405
"new.row.8","11500",1977,104361
"new.row.9","11500",1978,113196
"new.row.10","11500",1979,123433
"new.row.11","11500",1980,143410
"new.row.12","11500",1981,160771
"new.row.13","11500",1982,174856
"new.row.14","11500",1983,188632
"new.row.15","11500",1984,209525
"new.row.16","11500",1985,219608
"new.row.17","11500",1986,228862
"new.row.18","11500",1987,234265
"new.row.19","11500",1988,248783
"new.row.20","11500",1989,260497
"new.row.21","11500",1990,267078
"new.row.22","11500",1991,283540
"new.row.23","11500",1992,306917
"new.row.24","11500",1993,305109
"new.row.25","11500",1994,308749
"new.row.26","11500",1995,309351
"new.row.27","11500",1996,306366
"new.row.28","11500",1997,316764
"new.row.29","11500",1998,327891
"new.row.30","11500",1999,326524
"new.row.31","11500",2000,314502
"new.row.32","11500",2001,323893
"new.row.33","11500",2002,347112
"new.row.34","11500",2003,377418
"new.row.35","11500",2004,419217
"new.row.36","11500",2005,448244
"new.row.37","11500",2006,460358
"new.row.38","11500",2007,493746
"new.row.39","11500",2008,509462
"new.row.40","11500",2009,520492
"new.row.41","11500",2010,533403
"new.row.42","11500",2011,540492
"new.row.43","11500",2012,507765
"new.row.44","12220",1969,12392
"new.row.45","12220",1970,13763
"new.row.46","12220",1971,16090
"new.row.47","12220",1972,19274
"new.row.48","12220",1973,22541
"new.row.49","12220",1974,25819
"new.row.50","12220",1975,28806
"new.row.51","12220",1976,32361
"new.row.52","12220",1977,38947
"new.row.53","12220",1978,45461
"new.row.54","12220",1979,50530
"new.row.55","12220",1980,57780
"new.row.56","12220",1981,65699
"new.row.57","12220",1982,70995
"new.row.58","12220",1983,81563
"new.row.59","12220",1984,93092
"new.row.60","12220",1985,101040
"new.row.61","12220",1986,108726
"new.row.62","12220",1987,116937
"new.row.63","12220",1988,131056
"new.row.64","12220",1989,152933
"new.row.65","12220",1990,162168
"new.row.66","12220",1991,169681
"new.row.67","12220",1992,193924
"new.row.68","12220",1993,200120
"new.row.69","12220",1994,211790
"new.row.70","12220",1995,216474
"new.row.71","12220",1996,221908
"new.row.72","12220",1997,232026
"new.row.73","12220",1998,237863
"new.row.74","12220",1999,257219
"new.row.75","12220",2000,277185
"new.row.76","12220",2001,282535
"new.row.77","12220",2002,301695
"new.row.78","12220",2003,337243
"new.row.79","12220",2004,388890
"new.row.80","12220",2005,416179
"new.row.81","12220",2006,421350
"new.row.82","12220",2007,438868
"new.row.83","12220",2008,454321
"new.row.84","12220",2009,471986
"new.row.85","12220",2010,491576
"new.row.86","12220",2011,507164
"new.row.87","12220",2012,514735
"new.row.88","13820",1969,218074
"new.row.89","13820",1970,242285
"new.row.90","13820",1971,273176
"new.row.91","13820",1972,320842
"new.row.92","13820",1973,369133
"new.row.93","13820",1974,424585
"new.row.94","13820",1975,505973
"new.row.95","13820",1976,568849
"new.row.96","13820",1977,655339
"new.row.97","13820",1978,746341
"new.row.98","13820",1979,850808
"new.row.99","13820",1980,923468
"new.row.100","13820",1981,1006857
"new.row.101","13820",1982,1087574
"new.row.102","13820",1983,1167756
"new.row.103","13820",1984,1273004
"new.row.104","13820",1985,1395277
"new.row.105","13820",1986,1531722
"new.row.106","13820",1987,1637037
"new.row.107","13820",1988,1766701
"new.row.108","13820",1989,1927668
"new.row.109","13820",1990,2088386
"new.row.110","13820",1991,2221436
"new.row.111","13820",1992,2519817
"new.row.112","13820",1993,2624551
"new.row.113","13820",1994,2777270
"new.row.114","13820",1995,2831605
"new.row.115","13820",1996,2942350
"new.row.116","13820",1997,3072177
"new.row.117","13820",1998,3225372
"new.row.118","13820",1999,3390917
"new.row.119","13820",2000,3583860
"new.row.120","13820",2001,3906222
"new.row.121","13820",2002,4089131
"new.row.122","13820",2003,4320343
"new.row.123","13820",2004,4656783
"new.row.124","13820",2005,4931982
"new.row.125","13820",2006,5006705
"new.row.126","13820",2007,5141829
"new.row.127","13820",2008,5224342
"new.row.128","13820",2009,5282218
"new.row.129","13820",2010,5397192
"new.row.130","13820",2011,5581233
"new.row.131","13820",2012,5504541
"new.row.132","17980",1969,138160
"new.row.133","17980",1970,125861
"new.row.134","17980",1971,135333
"new.row.135","17980",1972,134085
"new.row.136","17980",1973,141935
"new.row.137","17980",1974,156560
"new.row.138","17980",1975,172813
"new.row.139","17980",1976,194737
"new.row.140","17980",1977,219307
"new.row.141","17980",1978,242698
"new.row.142","17980",1979,257869
"new.row.143","17980",1980,283918
"new.row.144","17980",1981,309003
"new.row.145","17980",1982,347718
"new.row.146","17980",1983,368035
"new.row.147","17980",1984,416716
"new.row.148","17980",1985,458463
"new.row.149","17980",1986,502155
"new.row.150","17980",1987,528798
"new.row.151","17980",1988,562215
"new.row.152","17980",1989,584420
"new.row.153","17980",1990,609462
"new.row.154","17980",1991,636337
"new.row.155","17980",1992,711268
"new.row.156","17980",1993,709042
"new.row.157","17980",1994,717790
"new.row.158","17980",1995,716153
"new.row.159","17980",1996,739236
"new.row.160","17980",1997,781969
"new.row.161","17980",1998,844443
"new.row.162","17980",1999,882832
"new.row.163","17980",2000,928836
"new.row.164","17980",2001,937407
"new.row.165","17980",2002,1005138
"new.row.166","17980",2003,1122087
"new.row.167","17980",2004,1190284
"new.row.168","17980",2005,1288883
"new.row.169","17980",2006,1357175
"new.row.170","17980",2007,1397869
"new.row.171","17980",2008,1483078
"new.row.172","17980",2009,1578756
"new.row.173","17980",2010,1656283
"new.row.174","17980",2011,1759214
"new.row.175","17980",2012,1823620
"new.row.176","19300",1969,6114
"new.row.177","19300",1970,6741
"new.row.178","19300",1971,7861
"new.row.179","19300",1972,9638
"new.row.180","19300",1973,11818
"new.row.181","19300",1974,13885
"new.row.182","19300",1975,16405
"new.row.183","19300",1976,19833
"new.row.184","19300",1977,23484
"new.row.185","19300",1978,25563
"new.row.186","19300",1979,29160
"new.row.187","19300",1980,31613
"new.row.188","19300",1981,37279
"new.row.189","19300",1982,41163
"new.row.190","19300",1983,47904
"new.row.191","19300",1984,55706
"new.row.192","19300",1985,62772
"new.row.193","19300",1986,69903
"new.row.194","19300",1987,75799
"new.row.195","19300",1988,80496
"new.row.196","19300",1989,90079
"new.row.197","19300",1990,102517
"new.row.198","19300",1991,113562
"new.row.199","19300",1992,131238
"new.row.200","19300",1993,145674
"new.row.201","19300",1994,163341
"new.row.202","19300",1995,174656
"new.row.203","19300",1996,187878
"new.row.204","19300",1997,205699
"new.row.205","19300",1998,228073
"new.row.206","19300",1999,251603
"new.row.207","19300",2000,270688
"new.row.208","19300",2001,280637
"new.row.209","19300",2002,299574
"new.row.210","19300",2003,329154
"new.row.211","19300",2004,371032
"new.row.212","19300",2005,409263
"new.row.213","19300",2006,428457
"new.row.214","19300",2007,458552
"new.row.215","19300",2008,470619
"new.row.216","19300",2009,474923
"new.row.217","19300",2010,484861
"new.row.218","19300",2011,499315
"new.row.219","19300",2012,491142
"new.row.220","19460",1969,21018
"new.row.221","19460",1970,24270
"new.row.222","19460",1971,26237
"new.row.223","19460",1972,30445
"new.row.224","19460",1973,35384
"new.row.225","19460",1974,41599
"new.row.226","19460",1975,50508
"new.row.227","19460",1976,56629
"new.row.228","19460",1977,67159
"new.row.229","19460",1978,77663
"new.row.230","19460",1979,90176
"new.row.231","19460",1980,93401
"new.row.232","19460",1981,105430
"new.row.233","19460",1982,112801
"new.row.234","19460",1983,125259
"new.row.235","19460",1984,138586
"new.row.236","19460",1985,151023
"new.row.237","19460",1986,164933
"new.row.238","19460",1987,178353
"new.row.239","19460",1988,193106
"new.row.240","19460",1989,217140
"new.row.241","19460",1990,239248
"new.row.242","19460",1991,261524
"new.row.243","19460",1992,292356
"new.row.244","19460",1993,307598
"new.row.245","19460",1994,316845
"new.row.246","19460",1995,315438
"new.row.247","19460",1996,323440
"new.row.248","19460",1997,333817
"new.row.249","19460",1998,350917
"new.row.250","19460",1999,372436
"new.row.251","19460",2000,390198
"new.row.252","19460",2001,423596
"new.row.253","19460",2002,418090
"new.row.254","19460",2003,441147
"new.row.255","19460",2004,477693
"new.row.256","19460",2005,497261
"new.row.257","19460",2006,495522
"new.row.258","19460",2007,516258
"new.row.259","19460",2008,524267
"new.row.260","19460",2009,528837
"new.row.261","19460",2010,556908
"new.row.262","19460",2011,570239
"new.row.263","19460",2012,559047
"new.row.264","20020",1969,13640
"new.row.265","20020",1970,15644
"new.row.266","20020",1971,18491
"new.row.267","20020",1972,22789
"new.row.268","20020",1973,29642
"new.row.269","20020",1974,35046
"new.row.270","20020",1975,39650
"new.row.271","20020",1976,49068
"new.row.272","20020",1977,57629
"new.row.273","20020",1978,66878
"new.row.274","20020",1979,73246
"new.row.275","20020",1980,84449
"new.row.276","20020",1981,92786
"new.row.277","20020",1982,97916
"new.row.278","20020",1983,108325
"new.row.279","20020",1984,121278
"new.row.280","20020",1985,134852
"new.row.281","20020",1986,150842
"new.row.282","20020",1987,163761
"new.row.283","20020",1988,178864
"new.row.284","20020",1989,203587
"new.row.285","20020",1990,222796
"new.row.286","20020",1991,237644
"new.row.287","20020",1992,270625
"new.row.288","20020",1993,279037
"new.row.289","20020",1994,292342
"new.row.290","20020",1995,298589
"new.row.291","20020",1996,304129
"new.row.292","20020",1997,316578
"new.row.293","20020",1998,332877
"new.row.294","20020",1999,346857
"new.row.295","20020",2000,365283
"new.row.296","20020",2001,380732
"new.row.297","20020",2002,391865
"new.row.298","20020",2003,419576
"new.row.299","20020",2004,460943
"new.row.300","20020",2005,485415
"new.row.301","20020",2006,494525
"new.row.302","20020",2007,505066
"new.row.303","20020",2008,503550
"new.row.304","20020",2009,523658
"new.row.305","20020",2010,543962
"new.row.306","20020",2011,543522
"new.row.307","20020",2012,522588
"new.row.308","22520",1969,30880
"new.row.309","22520",1970,33655
"new.row.310","22520",1971,40209
"new.row.311","22520",1972,45814
"new.row.312","22520",1973,51115
"new.row.313","22520",1974,58511
"new.row.314","22520",1975,67288
"new.row.315","22520",1976,79700
"new.row.316","22520",1977,94062
"new.row.317","22520",1978,109670
"new.row.318","22520",1979,119913
"new.row.319","22520",1980,131622
"new.row.320","22520",1981,141816
"new.row.321","22520",1982,149146
"new.row.322","22520",1983,157238
"new.row.323","22520",1984,163527
"new.row.324","22520",1985,170803
"new.row.325","22520",1986,180949
"new.row.326","22520",1987,191581
"new.row.327","22520",1988,209194
"new.row.328","22520",1989,224215
"new.row.329","22520",1990,244825
"new.row.330","22520",1991,262165
"new.row.331","22520",1992,299154
"new.row.332","22520",1993,309379
"new.row.333","22520",1994,326457
"new.row.334","22520",1995,322624
"new.row.335","22520",1996,326060
"new.row.336","22520",1997,332549
"new.row.337","22520",1998,323375
"new.row.338","22520",1999,334972
"new.row.339","22520",2000,346461
"new.row.340","22520",2001,345859
"new.row.341","22520",2002,346815
"new.row.342","22520",2003,370330
"new.row.343","22520",2004,399685
"new.row.344","22520",2005,426465
"new.row.345","22520",2006,432222
"new.row.346","22520",2007,445449
"new.row.347","22520",2008,456118
"new.row.348","22520",2009,473554
"new.row.349","22520",2010,498467
"new.row.350","22520",2011,506561
"new.row.351","22520",2012,491498
"new.row.352","23460",1969,24423
"new.row.353","23460",1970,24575
"new.row.354","23460",1971,26486
"new.row.355","23460",1972,31309
"new.row.356","23460",1973,35556
"new.row.357","23460",1974,39451
"new.row.358","23460",1975,44691
"new.row.359","23460",1976,48280
"new.row.360","23460",1977,59369
"new.row.361","23460",1978,68424
"new.row.362","23460",1979,78312
"new.row.363","23460",1980,84694
"new.row.364","23460",1981,94457
"new.row.365","23460",1982,94295
"new.row.366","23460",1983,101867
"new.row.367","23460",1984,110444
"new.row.368","23460",1985,116461
"new.row.369","23460",1986,124103
"new.row.370","23460",1987,138089
"new.row.371","23460",1988,147953
"new.row.372","23460",1989,156234
"new.row.373","23460",1990,159118
"new.row.374","23460",1991,165625
"new.row.375","23460",1992,193152
"new.row.376","23460",1993,199595
"new.row.377","23460",1994,211645
"new.row.378","23460",1995,209684
"new.row.379","23460",1996,204615
"new.row.380","23460",1997,211071
"new.row.381","23460",1998,217537
"new.row.382","23460",1999,220090
"new.row.383","23460",2000,227833
"new.row.384","23460",2001,222985
"new.row.385","23460",2002,231812
"new.row.386","23460",2003,245888
"new.row.387","23460",2004,265664
"new.row.388","23460",2005,280443
"new.row.389","23460",2006,276783
"new.row.390","23460",2007,279601
"new.row.391","23460",2008,284826
"new.row.392","23460",2009,293486
"new.row.393","23460",2010,309315
"new.row.394","23460",2011,314028
"new.row.395","23460",2012,302553
"new.row.396","26620",1969,100829
"new.row.397","26620",1970,116321
"new.row.398","26620",1971,145190
"new.row.399","26620",1972,159056
"new.row.400","26620",1973,169342
"new.row.401","26620",1974,182901
"new.row.402","26620",1975,198925
"new.row.403","26620",1976,220849
"new.row.404","26620",1977,247623
"new.row.405","26620",1978,271901
"new.row.406","26620",1979,306360
"new.row.407","26620",1980,343359
"new.row.408","26620",1981,387595
"new.row.409","26620",1982,427428
"new.row.410","26620",1983,499136
"new.row.411","26620",1984,567108
"new.row.412","26620",1985,647185
"new.row.413","26620",1986,710143
"new.row.414","26620",1987,741458
"new.row.415","26620",1988,836394
"new.row.416","26620",1989,911413
"new.row.417","26620",1990,994409
"new.row.418","26620",1991,1066004
"new.row.419","26620",1992,1183279
"new.row.420","26620",1993,1213400
"new.row.421","26620",1994,1244921
"new.row.422","26620",1995,1248045
"new.row.423","26620",1996,1243887
"new.row.424","26620",1997,1279372
"new.row.425","26620",1998,1358876
"new.row.426","26620",1999,1398751
"new.row.427","26620",2000,1509414
"new.row.428","26620",2001,1610908
"new.row.429","26620",2002,1715624
"new.row.430","26620",2003,1844295
"new.row.431","26620",2004,1968470
"new.row.432","26620",2005,2124934
"new.row.433","26620",2006,2220011
"new.row.434","26620",2007,2323661
"new.row.435","26620",2008,2430382
"new.row.436","26620",2009,2592583
"new.row.437","26620",2010,2687826
"new.row.438","26620",2011,2814916
"new.row.439","26620",2012,2771238
"new.row.440","33660",1969,67462
"new.row.441","33660",1970,74125
"new.row.442","33660",1971,82061
"new.row.443","33660",1972,96148
"new.row.444","33660",1973,112126
"new.row.445","33660",1974,131188
"new.row.446","33660",1975,157860
"new.row.447","33660",1976,182487
"new.row.448","33660",1977,212073
"new.row.449","33660",1978,245586
"new.row.450","33660",1979,274683
"new.row.451","33660",1980,319391
"new.row.452","33660",1981,356857
"new.row.453","33660",1982,371978
"new.row.454","33660",1983,395404
"new.row.455","33660",1984,434253
"new.row.456","33660",1985,483608
"new.row.457","33660",1986,523600
"new.row.458","33660",1987,542803
"new.row.459","33660",1988,572655
"new.row.460","33660",1989,631450
"new.row.461","33660",1990,690883
"new.row.462","33660",1991,773214
"new.row.463","33660",1992,868786
"new.row.464","33660",1993,920404
"new.row.465","33660",1994,959257
"new.row.466","33660",1995,963079
"new.row.467","33660",1996,999768
"new.row.468","33660",1997,1035823
"new.row.469","33660",1998,1080878
"new.row.470","33660",1999,1106605
"new.row.471","33660",2000,1157790
"new.row.472","33660",2001,1213452
"new.row.473","33660",2002,1237473
"new.row.474","33660",2003,1294641
"new.row.475","33660",2004,1380282
"new.row.476","33660",2005,1494664
"new.row.477","33660",2006,1548829
"new.row.478","33660",2007,1602051
"new.row.479","33660",2008,1669026
"new.row.480","33660",2009,1738034
"new.row.481","33660",2010,1811303
"new.row.482","33660",2011,1894289
"new.row.483","33660",2012,1805596
"new.row.484","33860",1969,65187
"new.row.485","33860",1970,71913
"new.row.486","33860",1971,88933
"new.row.487","33860",1972,110461
"new.row.488","33860",1973,126730
"new.row.489","33860",1974,143794
"new.row.490","33860",1975,159312
"new.row.491","33860",1976,178426
"new.row.492","33860",1977,201974
"new.row.493","33860",1978,228959
"new.row.494","33860",1979,258354
"new.row.495","33860",1980,287983
"new.row.496","33860",1981,323585
"new.row.497","33860",1982,344382
"new.row.498","33860",1983,392538
"new.row.499","33860",1984,435952
"new.row.500","33860",1985,480258
"new.row.501","33860",1986,528577
"new.row.502","33860",1987,557989
"new.row.503","33860",1988,611665
"new.row.504","33860",1989,659300
"new.row.505","33860",1990,702953
"new.row.506","33860",1991,752995
"new.row.507","33860",1992,838699
"new.row.508","33860",1993,871308
"new.row.509","33860",1994,921665
"new.row.510","33860",1995,938905
"new.row.511","33860",1996,965455
"new.row.512","33860",1997,998372
"new.row.513","33860",1998,1056822
"new.row.514","33860",1999,1118090
"new.row.515","33860",2000,1173616
"new.row.516","33860",2001,1256659
"new.row.517","33860",2002,1337467
"new.row.518","33860",2003,1450447
"new.row.519","33860",2004,1557349
"new.row.520","33860",2005,1654787
"new.row.521","33860",2006,1686830
"new.row.522","33860",2007,1734752
"new.row.523","33860",2008,1797321
"new.row.524","33860",2009,1865600
"new.row.525","33860",2010,1931787
"new.row.526","33860",2011,1958527
"new.row.527","33860",2012,1897143
"new.row.528","46220",1969,29249
"new.row.529","46220",1970,32844
"new.row.530","46220",1971,39265
"new.row.531","46220",1972,46336
"new.row.532","46220",1973,53730
"new.row.533","46220",1974,61390
"new.row.534","46220",1975,70893
"new.row.535","46220",1976,79894
"new.row.536","46220",1977,93710
"new.row.537","46220",1978,104533
"new.row.538","46220",1979,119492
"new.row.539","46220",1980,132761
"new.row.540","46220",1981,151848
"new.row.541","46220",1982,168980
"new.row.542","46220",1983,179816
"new.row.543","46220",1984,198482
"new.row.544","46220",1985,215588
"new.row.545","46220",1986,243972
"new.row.546","46220",1987,264509
"new.row.547","46220",1988,273373
"new.row.548","46220",1989,308745
"new.row.549","46220",1990,343999
"new.row.550","46220",1991,366305
"new.row.551","46220",1992,408273
"new.row.552","46220",1993,436977
"new.row.553","46220",1994,461551
"new.row.554","46220",1995,465740
"new.row.555","46220",1996,478848
"new.row.556","46220",1997,509160
"new.row.557","46220",1998,533717
"new.row.558","46220",1999,570577
"new.row.559","46220",2000,594899
"new.row.560","46220",2001,645908
"new.row.561","46220",2002,667247
"new.row.562","46220",2003,724588
"new.row.563","46220",2004,787017
"new.row.564","46220",2005,861121
"new.row.565","46220",2006,896691
"new.row.566","46220",2007,922016
"new.row.567","46220",2008,957596
"new.row.568","46220",2009,973321
"new.row.569","46220",2010,1041171
"new.row.570","46220",2011,1059835
"new.row.571","46220",2012,1056976
"new.row.572","11260",1969,95981
"new.row.573","11260",1970,112181
"new.row.574","11260",1971,131715
"new.row.575","11260",1972,148573
"new.row.576","11260",1973,164486
"new.row.577","11260",1974,199412
"new.row.578","11260",1975,257062
"new.row.579","11260",1976,302627
