"","msa.fips","year","total.personal.income"
"new.row","11500",1969,304093
"new.row.1","11500",1970,313313
"new.row.2","11500",1971,352809
"new.row.3","11500",1972,395520
"new.row.4","11500",1973,432119
"new.row.5","11500",1974,483711
"new.row.6","11500",1975,555543
"new.row.7","11500",1976,621724
"new.row.8","11500",1977,698993
"new.row.9","11500",1978,772741
"new.row.10","11500",1979,845285
"new.row.11","11500",1980,967840
"new.row.12","11500",1981,1063833
"new.row.13","11500",1982,1139126
"new.row.14","11500",1983,1213653
"new.row.15","11500",1984,1335367
"new.row.16","11500",1985,1399199
"new.row.17","11500",1986,1466097
"new.row.18","11500",1987,1521112
"new.row.19","11500",1988,1602469
"new.row.20","11500",1989,1700683
"new.row.21","11500",1990,1754212
"new.row.22","11500",1991,1844084
"new.row.23","11500",1992,1948021
"new.row.24","11500",1993,2002178
"new.row.25","11500",1994,2071055
"new.row.26","11500",1995,2182593
"new.row.27","11500",1996,2244877
"new.row.28","11500",1997,2328543
"new.row.29","11500",1998,2476128
"new.row.30","11500",1999,2493052
"new.row.31","11500",2000,2490836
"new.row.32","11500",2001,2614918
"new.row.33","11500",2002,2733800
"new.row.34","11500",2003,2891038
"new.row.35","11500",2004,3088175
"new.row.36","11500",2005,3230072
"new.row.37","11500",2006,3401921
"new.row.38","11500",2007,3626933
"new.row.39","11500",2008,3741825
"new.row.40","11500",2009,3705725
"new.row.41","11500",2010,3770742
"new.row.42","11500",2011,3837477
"new.row.43","11500",2012,3826498
"new.row.44","11500",2013,3785995
"new.row.45","12220",1969,152916
"new.row.46","12220",1970,168756
"new.row.47","12220",1971,188289
"new.row.48","12220",1972,212798
"new.row.49","12220",1973,241228
"new.row.50","12220",1974,270356
"new.row.51","12220",1975,300888
"new.row.52","12220",1976,340151
"new.row.53","12220",1977,392421
"new.row.54","12220",1978,451809
"new.row.55","12220",1979,499192
"new.row.56","12220",1980,564261
"new.row.57","12220",1981,618938
"new.row.58","12220",1982,656351
"new.row.59","12220",1983,727386
"new.row.60","12220",1984,807995
"new.row.61","12220",1985,868931
"new.row.62","12220",1986,921329
"new.row.63","12220",1987,981984
"new.row.64","12220",1988,1062030
"new.row.65","12220",1989,1188584
"new.row.66","12220",1990,1250168
"new.row.67","12220",1991,1320397
"new.row.68","12220",1992,1447263
"new.row.69","12220",1993,1538636
"new.row.70","12220",1994,1642029
"new.row.71","12220",1995,1769106
"new.row.72","12220",1996,1853612
"new.row.73","12220",1997,2003223
"new.row.74","12220",1998,2168143
"new.row.75","12220",1999,2307195
"new.row.76","12220",2000,2438579
"new.row.77","12220",2001,2544227
"new.row.78","12220",2002,2670556
"new.row.79","12220",2003,2808679
"new.row.80","12220",2004,3043277
"new.row.81","12220",2005,3229451
"new.row.82","12220",2006,3471618
"new.row.83","12220",2007,3677500
"new.row.84","12220",2008,3902943
"new.row.85","12220",2009,3926873
"new.row.86","12220",2010,4061847
"new.row.87","12220",2011,4287330
"new.row.88","12220",2012,4483376
