"","msa.fips","year","wage.and.salary.employment"
"new.row","11500",1969,44715
"new.row.1","11500",1970,42398
"new.row.2","11500",1971,42654
"new.row.3","11500",1972,43655
"new.row.4","11500",1973,44373
"new.row.5","11500",1974,45172
"new.row.6","11500",1975,45416
"new.row.7","11500",1976,47626
"new.row.8","11500",1977,49863
"new.row.9","11500",1978,50500
"new.row.10","11500",1979,50696
"new.row.11","11500",1980,51383
"new.row.12","11500",1981,50242
"new.row.13","11500",1982,49646
"new.row.14","11500",1983,49904
"new.row.15","11500",1984,52062
"new.row.16","11500",1985,51771
"new.row.17","11500",1986,52051
"new.row.18","11500",1987,52681
"new.row.19","11500",1988,53934
"new.row.20","11500",1989,53863
"new.row.21","11500",1990,53394
"new.row.22","11500",1991,52734
"new.row.23","11500",1992,53252
"new.row.24","11500",1993,53275
"new.row.25","11500",1994,52456
"new.row.26","11500",1995,53262
"new.row.27","11500",1996,53375
"new.row.28","11500",1997,54955
"new.row.29","11500",1998,55404
"new.row.30","11500",1999,54165
"new.row.31","11500",2000,51644
"new.row.32","11500",2001,50385
"new.row.33","11500",2002,50839
"new.row.34","11500",2003,51220
"new.row.35","11500",2004,53017
"new.row.36","11500",2005,53274
"new.row.37","11500",2006,53806
"new.row.38","11500",2007,55240
"new.row.39","11500",2008,54339
"new.row.40","11500",2009,51431
"new.row.41","11500",2010,50322
"new.row.42","11500",2011,50075
"new.row.43","11500",2012,49314
"new.row.44","12220",1969,22815
"new.row.45","12220",1970,23033
"new.row.46","12220",1971,22867
"new.row.47","12220",1972,23905
"new.row.48","12220",1973,25224
"new.row.49","12220",1974,25365
"new.row.50","12220",1975,25165
"new.row.51","12220",1976,26142
"new.row.52","12220",1977,27623
"new.row.53","12220",1978,29059
"new.row.54","12220",1979,29184
"new.row.55","12220",1980,29656
"new.row.56","12220",1981,29579
"new.row.57","12220",1982,29446
"new.row.58","12220",1983,30480
"new.row.59","12220",1984,32839
"new.row.60","12220",1985,32760
"new.row.61","12220",1986,32742
"new.row.62","12220",1987,33715
"new.row.63","12220",1988,35610
"new.row.64","12220",1989,38002
"new.row.65","12220",1990,37679
"new.row.66","12220",1991,37520
"new.row.67","12220",1992,38735
"new.row.68","12220",1993,38936
"new.row.69","12220",1994,39962
"new.row.70","12220",1995,41585
"new.row.71","12220",1996,42901
"new.row.72","12220",1997,44426
"new.row.73","12220",1998,44236
"new.row.74","12220",1999,45135
"new.row.75","12220",2000,46644
"new.row.76","12220",2001,45567
"new.row.77","12220",2002,47433
"new.row.78","12220",2003,48169
"new.row.79","12220",2004,50935
"new.row.80","12220",2005,52644
"new.row.81","12220",2006,54624
"new.row.82","12220",2007,55635
"new.row.83","12220",2008,55068
"new.row.84","12220",2009,52899
"new.row.85","12220",2010,52597
"new.row.86","12220",2011,54014
"new.row.87","12220",2012,55994
"new.row.88","13820",1969,317483
"new.row.89","13820",1970,320906
"new.row.90","13820",1971,323196
"new.row.91","13820",1972,334287
"new.row.92","13820",1973,347455
"new.row.93","13820",1974,356753
"new.row.94","13820",1975,355802
"new.row.95","13820",1976,362877
"new.row.96","13820",1977,375854
"new.row.97","13820",1978,387318
"new.row.98","13820",1979,396702
"new.row.99","13820",1980,388715
"new.row.100","13820",1981,381391
"new.row.101","13820",1982,372609
"new.row.102","13820",1983,373146
"new.row.103","13820",1984,387807
"new.row.104","13820",1985,400663
"new.row.105","13820",1986,412273
"new.row.106","13820",1987,424531
"new.row.107","13820",1988,436797
"new.row.108","13820",1989,444285
"new.row.109","13820",1990,452051
"new.row.110","13820",1991,452595
"new.row.111","13820",1992,461168
"new.row.112","13820",1993,469286
"new.row.113","13820",1994,478358
"new.row.114","13820",1995,492464
"new.row.115","13820",1996,499655
"new.row.116","13820",1997,510257
"new.row.117","13820",1998,522306
"new.row.118","13820",1999,528582
"new.row.119","13820",2000,531530
"new.row.120","13820",2001,529559
"new.row.121","13820",2002,525687
"new.row.122","13820",2003,522283
"new.row.123","13820",2004,528687
"new.row.124","13820",2005,536195
"new.row.125","13820",2006,543486
"new.row.126","13820",2007,548093
"new.row.127","13820",2008,542223
"new.row.128","13820",2009,512257
"new.row.129","13820",2010,502919
"new.row.130","13820",2011,504904
"new.row.131","13820",2012,516472
"new.row.132","17980",1969,129149
"new.row.133","17980",1970,112600
"new.row.134","17980",1971,109205
"new.row.135","17980",1972,104574
"new.row.136","17980",1973,105559
"new.row.137","17980",1974,105934
"new.row.138","17980",1975,103385
"new.row.139","17980",1976,107734
"new.row.140","17980",1977,112389
"new.row.141","17980",1978,115232
"new.row.142","17980",1979,113692
"new.row.143","17980",1980,113110
"new.row.144","17980",1981,111343
"new.row.145","17980",1982,113914
"new.row.146","17980",1983,114074
"new.row.147","17980",1984,121505
"new.row.148","17980",1985,124126
"new.row.149","17980",1986,126540
"new.row.150","17980",1987,129778
"new.row.151","17980",1988,131557
