"","msa.fips","year","wages.and.salaries"
"new.row","11500",1969,222635
"new.row.1","11500",1970,222603
"new.row.2","11500",1971,247542
"new.row.3","11500",1972,275129
"new.row.4","11500",1973,295113
"new.row.5","11500",1974,322671
"new.row.6","11500",1975,352039
"new.row.7","11500",1976,398780
"new.row.8","11500",1977,450281
"new.row.9","11500",1978,490211
"new.row.10","11500",1979,530063
"new.row.11","11500",1980,599829
"new.row.12","11500",1981,651364
"new.row.13","11500",1982,684859
"new.row.14","11500",1983,725345
"new.row.15","11500",1984,799837
"new.row.16","11500",1985,837807
"new.row.17","11500",1986,875363
"new.row.18","11500",1987,919308
"new.row.19","11500",1988,959723
"new.row.20","11500",1989,982770
"new.row.21","11500",1990,1010921
"new.row.22","11500",1991,1056959
"new.row.23","11500",1992,1092503
"new.row.24","11500",1993,1110899
"new.row.25","11500",1994,1137979
"new.row.26","11500",1995,1188408
"new.row.27","11500",1996,1201611
"new.row.28","11500",1997,1258237
"new.row.29","11500",1998,1319824
"new.row.30","11500",1999,1327078
"new.row.31","11500",2000,1289679
"new.row.32","11500",2001,1316905
"new.row.33","11500",2002,1381894
"new.row.34","11500",2003,1459120
"new.row.35","11500",2004,1567614
"new.row.36","11500",2005,1645096
"new.row.37","11500",2006,1737124
"new.row.38","11500",2007,1888414
"new.row.39","11500",2008,1945770
"new.row.40","11500",2009,1865696
"new.row.41","11500",2010,1855676
"new.row.42","11500",2011,1861757
"new.row.43","11500",2012,1816761
"new.row.44","12220",1969,103810
"new.row.45","12220",1970,110593
"new.row.46","12220",1971,119824
"new.row.47","12220",1972,135437
"new.row.48","12220",1973,154674
"new.row.49","12220",1974,170752
"new.row.50","12220",1975,181709
"new.row.51","12220",1976,203332
"new.row.52","12220",1977,238270
"new.row.53","12220",1978,273770
"new.row.54","12220",1979,297174
"new.row.55","12220",1980,332747
"new.row.56","12220",1981,362230
"new.row.57","12220",1982,372436
"new.row.58","12220",1983,418525
"new.row.59","12220",1984,474977
"new.row.60","12220",1985,501558
"new.row.61","12220",1986,523205
"new.row.62","12220",1987,559549
"new.row.63","12220",1988,610806
"new.row.64","12220",1989,676434
"new.row.65","12220",1990,702302
"new.row.66","12220",1991,710823
"new.row.67","12220",1992,761500
"new.row.68","12220",1993,784020
"new.row.69","12220",1994,828225
"new.row.70","12220",1995,875559
"new.row.71","12220",1996,903743
"new.row.72","12220",1997,964548
"new.row.73","12220",1998,995521
"new.row.74","12220",1999,1059781
"new.row.75","12220",2000,1111509
"new.row.76","12220",2001,1130687
"new.row.77","12220",2002,1199284
"new.row.78","12220",2003,1281800
"new.row.79","12220",2004,1415614
"new.row.80","12220",2005,1492102
"new.row.81","12220",2006,1614047
"new.row.82","12220",2007,1697863
"new.row.83","12220",2008,1745727
"new.row.84","12220",2009,1707818
"new.row.85","12220",2010,1699624
"new.row.86","12220",2011,1768714
"new.row.87","12220",2012,1852805
"new.row.88","13820",1969,1836256
"new.row.89","13820",1970,1971658
"new.row.90","13820",1971,2122843
"new.row.91","13820",1972,2361000
"new.row.92","13820",1973,2659512
"new.row.93","13820",1974,3004125
"new.row.94","13820",1975,3237834
"new.row.95","13820",1976,3580492
"new.row.96","13820",1977,3967546
"new.row.97","13820",1978,4482729
"new.row.98","13820",1979,4991538
"new.row.99","13820",1980,5316361
"new.row.100","13820",1981,5651262
"new.row.101","13820",1982,5841232
"new.row.102","13820",1983,6140492
"new.row.103","13820",1984,6718856
"new.row.104","13820",1985,7305629
"new.row.105","13820",1986,7731291
"new.row.106","13820",1987,8252412
"new.row.107","13820",1988,8872194
"new.row.108","13820",1989,9356255
"new.row.109","13820",1990,9998944
"new.row.110","13820",1991,10393023
"new.row.111","13820",1992,11058023
"new.row.112","13820",1993,11535628
"new.row.113","13820",1994,12244717
"new.row.114","13820",1995,13063068
"new.row.115","13820",1996,13806566
"new.row.116","13820",1997,14632885
"new.row.117","13820",1998,15484468
"new.row.118","13820",1999,16435068
"new.row.119","13820",2000,17172873
"new.row.120","13820",2001,17754710
"new.row.121","13820",2002,18304531
"new.row.122","13820",2003,18796846
"new.row.123","13820",2004,19842834
"new.row.124","13820",2005,20904007
"new.row.125","13820",2006,21961610
"new.row.126","13820",2007,23111156
"new.row.127","13820",2008,23459014
"new.row.128","13820",2009,22192729
"new.row.129","13820",2010,22129378
"new.row.130","13820",2011,22793863
"new.row.131","13820",2012,24070030
"new.row.132","17980",1969,635085
"new.row.133","17980",1970,610163
"new.row.134","17980",1971,641154
"new.row.135","17980",1972,664118
"new.row.136","17980",1973,718557
"new.row.137","17980",1974,774627
"new.row.138","17980",1975,808036
"new.row.139","17980",1976,898636
"new.row.140","17980",1977,995424
"new.row.141","17980",1978,1099961
"new.row.142","17980",1979,1164058
"new.row.143","17980",1980,1251298
"new.row.144","17980",1981,1361395
"new.row.145","17980",1982,1466671
"new.row.146","17980",1983,1554987
"new.row.147","17980",1984,1746113
"new.row.148","17980",1985,1880209
"new.row.149","17980",1986,2020748
"new.row.150","17980",1987,2176341
"new.row.151","17980",1988,2265154
"new.row.152","17980",1989,2331800
"new.row.153","17980",1990,2461374
"new.row.154","17980",1991,2538005
"new.row.155","17980",1992,2721214
"new.row.156","17980",1993,2794698
"new.row.157","17980",1994,2916513
"new.row.158","17980",1995,3046270
"new.row.159","17980",1996,3223270
"new.row.160","17980",1997,3500829
"new.row.161","17980",1998,3734851
"new.row.162","17980",1999,3924900
"new.row.163","17980",2000,4107888
"new.row.164","17980",2001,4240398
"new.row.165","17980",2002,4318729
"new.row.166","17980",2003,4436447
"new.row.167","17980",2004,4594757
"new.row.168","17980",2005,4912054
"new.row.169","17980",2006,5178248
"new.row.170","17980",2007,5432846
"new.row.171","17980",2008,5672293
"new.row.172","17980",2009,5661770
"new.row.173","17980",2010,5782957
"new.row.174","17980",2011,6007022
"new.row.175","17980",2012,6255266
"new.row.176","19300",1969,57466
"new.row.177","19300",1970,61271
"new.row.178","19300",1971,67668
"new.row.179","19300",1972,77476
"new.row.180","19300",1973,91157
"new.row.181","19300",1974,103926
"new.row.182","19300",1975,114245
"new.row.183","19300",1976,132897
"new.row.184","19300",1977,149568
"new.row.185","19300",1978,159603
"new.row.186","19300",1979,179182
"new.row.187","19300",1980,190877
"new.row.188","19300",1981,217287
"new.row.189","19300",1982,229341
"new.row.190","19300",1983,254801
"new.row.191","19300",1984,291664
"new.row.192","19300",1985,318383
"new.row.193","19300",1986,340312
"new.row.194","19300",1987,364829
"new.row.195","19300",1988,385032
"new.row.196","19300",1989,415578
"new.row.197","19300",1990,461462
"new.row.198","19300",1991,499923
"new.row.199","19300",1992,542703
"new.row.200","19300",1993,602539
"new.row.201","19300",1994,678492
"new.row.202","19300",1995,753025
"new.row.203","19300",1996,821794
"new.row.204","19300",1997,918903
"new.row.205","19300",1998,1018662
"new.row.206","19300",1999,1124715
"new.row.207","19300",2000,1203776
"new.row.208","19300",2001,1257459
"new.row.209","19300",2002,1326986
"new.row.210","19300",2003,1410106
"new.row.211","19300",2004,1539839
"new.row.212","19300",2005,1709570
"new.row.213","19300",2006,1915306
"new.row.214","19300",2007,2066949
"new.row.215","19300",2008,2113260
"new.row.216","19300",2009,2001773
"new.row.217","19300",2010,2004084
"new.row.218","19300",2011,2066163
"new.row.219","19300",2012,2132319
"new.row.220","19460",1969,177705
"new.row.221","19460",1970,204309
"new.row.222","19460",1971,208228
"new.row.223","19460",1972,225816
"new.row.224","19460",1973,257035
"new.row.225","19460",1974,298592
"new.row.226","19460",1975,332294
"new.row.227","19460",1976,360408
"new.row.228","19460",1977,403874
"new.row.229","19460",1978,474396
"new.row.230","19460",1979,538014
"new.row.231","19460",1980,547312
"new.row.232","19460",1981,592553
"new.row.233","19460",1982,607949
"new.row.234","19460",1983,646024
"new.row.235","19460",1984,715986
"new.row.236","19460",1985,769793
"new.row.237","19460",1986,803120
"new.row.238","19460",1987,860298
"new.row.239","19460",1988,916002
"new.row.240","19460",1989,984128
"new.row.241","19460",1990,1062864
"new.row.242","19460",1991,1136474
"new.row.243","19460",1992,1190481
"new.row.244","19460",1993,1252606
"new.row.245","19460",1994,1297203
"new.row.246","19460",1995,1379615
"new.row.247","19460",1996,1447129
"new.row.248","19460",1997,1535639
"new.row.249","19460",1998,1644437
"new.row.250","19460",1999,1738495
"new.row.251","19460",2000,1781018
"new.row.252","19460",2001,1826265
"new.row.253","19460",2002,1758925
"new.row.254","19460",2003,1791908
"new.row.255","19460",2004,1900852
"new.row.256","19460",2005,1951467
"new.row.257","19460",2006,2034893
"new.row.258","19460",2007,2138769
"new.row.259","19460",2008,2180338
"new.row.260","19460",2009,2046912
"new.row.261","19460",2010,2102105
"new.row.262","19460",2011,2162171
"new.row.263","19460",2012,2219250
"new.row.264","20020",1969,124446
"new.row.265","20020",1970,137816
"new.row.266","20020",1971,158474
"new.row.267","20020",1972,185832
"new.row.268","20020",1973,238876
"new.row.269","20020",1974,275889
"new.row.270","20020",1975,274777
"new.row.271","20020",1976,333414
"new.row.272","20020",1977,369686
"new.row.273","20020",1978,418643
"new.row.274","20020",1979,444754
"new.row.275","20020",1980,512956
"new.row.276","20020",1981,542360
"new.row.277","20020",1982,547847
"new.row.278","20020",1983,576819
"new.row.279","20020",1984,633950
"new.row.280","20020",1985,685062
"new.row.281","20020",1986,738191
"new.row.282","20020",1987,805838
"new.row.283","20020",1988,870852
"new.row.284","20020",1989,946835
"new.row.285","20020",1990,1006095
"new.row.286","20020",1991,1050635
"new.row.287","20020",1992,1134727
"new.row.288","20020",1993,1163140
"new.row.289","20020",1994,1220508
"new.row.290","20020",1995,1303905
"new.row.291","20020",1996,1334820
"new.row.292","20020",1997,1398228
"new.row.293","20020",1998,1473629
"new.row.294","20020",1999,1527684
"new.row.295","20020",2000,1600237
"new.row.296","20020",2001,1626780
"new.row.297","20020",2002,1664697
"new.row.298","20020",2003,1730459
"new.row.299","20020",2004,1849574
"new.row.300","20020",2005,1939686
"new.row.301","20020",2006,2045093
"new.row.302","20020",2007,2118872
"new.row.303","20020",2008,2112151
"new.row.304","20020",2009,2049809
"new.row.305","20020",2010,2068044
"new.row.306","20020",2011,2075371
"new.row.307","20020",2012,2109549
"new.row.308","22520",1969,223672
"new.row.309","22520",1970,232814
"new.row.310","22520",1971,254836
"new.row.311","22520",1972,284744
"new.row.312","22520",1973,315474
"new.row.313","22520",1974,354627
"new.row.314","22520",1975,367440
"new.row.315","22520",1976,432301
"new.row.316","22520",1977,491488
"new.row.317","22520",1978,573111
"new.row.318","22520",1979,618504
"new.row.319","22520",1980,666301
"new.row.320","22520",1981,700829
"new.row.321","22520",1982,704812
"new.row.322","22520",1983,718100
"new.row.323","22520",1984,753141
"new.row.324","22520",1985,778814
"new.row.325","22520",1986,809018
"new.row.326","22520",1987,843499
"new.row.327","22520",1988,911910
"new.row.328","22520",1989,952853
"new.row.329","22520",1990,1034738
