"","area_code","year","high.tech.occupations","total.jobs","rate"
"1","0010180",2013,520,62610,0.00830538252675292
"2","0010380",2013,180,42480,0.00423728813559322
"3","0010420",2013,7590,317190,0.023928875437435
"4","0010500",2013,440,58240,0.00755494505494505
"5","0010580",2013,15910,427180,0.0372442530080996
"6","0010740",2013,11080,368830,0.0300409402705854
"7","0010780",2013,390,60470,0.0064494790805358
"8","0010900",2013,8170,336560,0.0242750178274305
"9","0011020",2013,650,57730,0.0112593105837519
"10","0011100",2013,1140,110660,0.0103018254111693
"11","0011180",2013,1270,41460,0.0306319343945972
"12","0011260",2013,4600,175540,0.0262048535946223
"13","0011300",2013,90,37820,0.00237969328397673
"14","0011340",2013,390,60100,0.0064891846921797
"15","0011460",2013,9740,202700,0.0480513073507647
"16","0011500",2013,330,43150,0.00764774044032445
"17","0011540",2013,1670,115480,0.0144613785936959
"18","0011700",2013,2050,171890,0.0119262318924894
"19","0012020",2013,1110,77820,0.0142636854279106
"20","0012060",2013,80740,2308040,0.0349820627025528
"21","0012100",2013,1660,132980,0.0124830801624304
"22","0012220",2013,570,51010,0.0111742795530288
"23","0012260",2013,4140,202750,0.0204192355117139
"24","0012420",2013,50800,854930,0.0594200694793726
"25","0012540",2013,7000,288490,0.0242642725917709
"26","0012580",2013,50980,1280700,0.0398063558991177
"27","0012940",2013,8420,366610,0.0229671858378113
"28","0012980",2013,300,53370,0.00562113546936481
"29","0013020",2013,100,33490,0.00298596595998806
"30","0013140",2013,2400,155790,0.0154053533602927
"31","0013380",2013,690,76650,0.00900195694716243
"32","0013460",2013,870,62540,0.0139110968979853
"33","0013644",2013,34530,561830,0.0614598722033355
"34","0013740",2013,1330,82610,0.0160997457934875
"35","0013780",2013,1850,103490,0.0178761232969369
"36","0013820",2013,14090,490870,0.0287041375516939
"37","0013900",2013,1220,68060,0.0179253599764913
"38","0013980",2013,1560,63270,0.024656235182551
"39","0014020",2013,1700,72550,0.0234321157822192
"40","0014060",2013,1010,87020,0.0116065272351184
"41","0014260",2013,7110,269680,0.0263645802432513
"42","0014500",2013,13700,163010,0.0840439236856635
"43","0014540",2013,660,59180,0.0111524163568773
"44","0014740",2013,1510,77850,0.0193962748876044
"45","0015180",2013,550,131270,0.0041898377390112
"46","0015260",2013,160,38860,0.00411734431291817
"47","0015380",2013,12330,532880,0.0231384176550068
"48","0015500",2013,800,55910,0.0143087104274727
"49","0015804",2013,10530,501330,0.0210041290168153
"50","0015940",2013,1560,165610,0.00941972103133869
"51","0015980",2013,2110,211080,0.00999620996778473
"52","0016020",2013,290,42060,0.00689491203043271
"53","0016180",2013,30,25770,0.00116414435389988
"54","0016220",2013,680,42080,0.0161596958174905
"55","0016300",2013,4140,138580,0.0298744407562419
"56","0016580",2013,2170,96350,0.0225220550077841
"57","0016620",2013,1850,144200,0.0128294036061026
"58","0016700",2013,7590,295210,0.025710511161546
"59","0016740",2013,26020,877070,0.0296669593076949
"60","0016820",2013,3090,98400,0.0314024390243902
"61","0016860",2013,4110,227330,0.018079443980117
"62","0016940",2013,630,44370,0.0141987829614604
"63","0016974",2013,102480,3700620,0.0276926569061401
"64","0016980",2013,119070,4347580,0.027387650140998
"65","0017020",2013,620,68410,0.00906300248501681
"66","0017140",2013,29730,995170,0.0298742928343901
"67","0017300",2013,610,82080,0.0074317738791423
"68","0017420",2013,340,38950,0.00872913992297818
"69","0017460",2013,27570,1010190,0.0272918955839991
