Place,Lat,Lon,Metro Area
"Albany-Schenectady-Amsterdam, NY",42.7879202,-73.9423479,"Albany, NY"
"Atlanta-Sandy Springs-Gainesville, GA-AL",33.693728,-84.3999113,"Atlanta, GA"
"Austin-Round Rock, TX",30.2395128,-97.6912697,"Austin, TX"
"Baltimore-Towson, MD",39.304361,-76.5495009,"Baltimore, MD"
"Baton Rouge-Pierre Part, LA",30.5708895,-91.134533,"Baton Rouge, LA"
"Beaumont-Port Arthur, TX",30.3478326,-94.1203707,"Beaumont, TX"
"Birmingham-Hoover-Cullman, AL",33.4623718,-86.8143378,"Birmingham, AL"
"Boston-Worcester-Manchester, MA-RI-NH",42.517606,-71.0219925,"Boston, MA"
"Buffalo-Niagara-Cattaraugus, NY",43.0443711,-78.7773351,"Buffalo, NY"
"Charleston-North Charleston, SC",33.0058308,-80.006109,"Charleston, SC"
"Charlotte-Gastonia-Salisbury, NC-SC",33.0058308,-80.006109,"Charlotte, NC"
"Chicago-Naperville-Michigan City, IL-IN-WI",41.8235214,-87.8282967,"Chicago, IL"
"Cincinnati-Middletown-Wilmington, OH-KY-IN",39.0694009,-84.4271451,"Cincinnati, OH"
"Cleveland-Akron-Elyria, OH",41.760392,-81.7242168,"Cleveland, OH"
"Columbus-Marion-Chillicothe, OH",39.9685617,-82.8359105,"Columbus, OH"
"Corpus Christi-Kingsville, TX",27.8989315,-97.4012355,"Corpus Christi, TX"
"Dallas-Fort Worth, TX",32.8225581,-97.0251332,"Dallas, TX"
"Dayton-Springfield-Greenville, OH",39.8288538,-84.1418129,"Dayton, OH"
"Denver-Aurora-Boulder, CO",39.4347492,-104.901209,"Denver, CO"
"Detroit-Warren-Flint, MI",42.7218478,-83.2008463,"Detroit, MI"
"El Paso, TX",31.527394,-105.5213326,"El Paso, TX"
"Grand Rapids-Muskegon-Holland, MI",42.9785793,-85.8112093,"Grand Rapids, MI"
"Greensboro--Winston-Salem--High Point, NC",36.0252039,-79.7926333,"Greensboro, NC"
"Greenville-Spartanburg-Anderson, SC",34.6837085,-82.4134227,"Greenville, SC"
"Hartford-West Hartford-Willimantic, CT",41.718601,-72.5739417,"Hartford, CT"
"Honolulu, HI",21.4613654,-158.201974,"Honolulu, HI"
"Houston-Baytown-Huntsville, TX",29.7495926,-95.3536422,"Houston, TX"
"Indianapolis-Anderson-Columbus, IN",39.7449323,-86.2045408,"Indianapolis, IN"
"Jacksonville, FL",30.2370947,-81.7552649,"Jacksonville, FL"
